	W1	W2	W3	W4	W5	W6	W7	W8	W9
segsize1	0.0	0.00024935734	0.0	0.0	0.0052345227	4.532e-42	0.1370408	0.0	0.00073204894
segsize2	0.0	0.0001616084	0.0	0.0	0.004249662	0.0035044446	0.13022077	0.0	0.0013972578
segsize3	0.015488325	0.0	0.0	0.0	0.009125496	0.02807756	0.1524097	0.0	0.0014987946
segsize4	0.043567393	0.0	0.0	0.028804256	0.030033669	0.091379896	0.14524654	0.0	1.6871161e-09
segsize5	0.02133779	0.0	0.0	0.01912758	0.0418032	0.086413674	0.02232662	0.0	0.0
segsize6	0.009103832	0.00082917477	0.0	0.0	0.04944913	0.06382101	0.0	0.0	3.356131e-21
segsize7	3.1961616e-28	0.002276437	0.0	0.0	0.053343914	0.030641614	0.0	0.0	0.0065214355
segsize8	0.0	0.0009094844	0.0	0.0	0.03276557	0.008036711	0.0	0.0	0.011967485
segsize9	0.0	0.00062721	0.00260601	0.0	0.018781886	0.0018771822	0.0	0.0	0.009447463
segsize10	1.0932e-41	0.00027610356	1.6745501e-20	0.0	0.026762355	0.0007207708	0.0	0.0	0.018737046
segsize11	0.002157386	0.0	0.0	0.0	0.024215013	3.181915e-11	0.0	0.0	0.024914695
segsize12	0.004877431	0.0	0.0	0.0	0.02021997	0.0	0.0	0.0	0.027898824
segsize13	0.012236736	4.752399e-05	0.0	0.0	0.010626881	0.0	0.0	0.0	0.021002501
segsize14	0.015737643	0.00018900323	0.0	0.009835394	0.0043168813	0.0	0.0	0.0	0.014112745
segsize15	0.028357858	0.00064001366	0.016365575	0.038831826	0.00012707178	0.0	0.0	0.0	0.022622747
segsize16	0.020022225	0.0034856	0.0067050876	0.021490311	0.0	0.0	0.0	0.0	0.008585287
segsize17	0.021064887	0.0042686486	0.0065109367	0.022964858	0.0	0.0	0.0	0.000286573	0.013103246
segsize18	0.005117969	0.0041375523	6.2581494e-05	0.029944519	0.0	0.0	0.0	0.0	0.0058214106
segsize19	0.009134966	0.0038975712	0.0	0.013299627	0.0	0.0	0.0	0.0	0.0049910094
segsize20	0.004125952	0.0051181875	0.0	0.006550708	0.0	0.0	0.0	0.0	0.0007344873
segsize21	0.0	0.008651276	0.0	0.019193431	0.0	0.0	0.0	2.1574722e-14	0.0014649772
segsize22	0.0	0.013815294	0.0	0.0	0.0	0.0	0.0	0.0	0.0
changepoint1	1.3194118e-12	0.007193804	0.3434463	0.0	0.0011656967	0.0018450187	0.012316454	0.0	0.008982659
changepoint2	0.0	0.0014264808	0.6243035	0.0	0.01566444	6.652473e-25	0.0	0.0	0.023684243
changepoint3	0.0	0.0062561515	0.0	0.0	1.580774e-20	0.2985591	0.0	0.0	0.08132756
changepoint4	0.14399879	0.0048965407	0.0	0.0	0.02596129	0.16162282	0.0	0.0	0.04819653
changepoint5	0.5518496	3.29236e-40	0.0	0.0	0.053923737	0.027427161	1e-45	0.0	0.0063692876
changepoint6	0.034934096	0.0	0.0	0.21387732	0.019524682	0.0	0.0	0.0	0.0
changepoint7	0.0010299629	0.0	0.0	0.23100671	0.008536208	0.0	0.0	0.0	0.0
changepoint8	0.0049870103	1.0829494e-05	0.0	0.18770708	0.0081884945	1.4570463e-37	0.00077118253	0.020136332	0.0
changepoint9	1.7782777e-09	5.3875297e-05	0.0	0.12385489	0.004930278	0.00020330872	0.0	0.11554856	0.0
changepoint10	4.110866e-27	3.1203056e-06	0.0	0.016524516	0.0016506782	2.970866e-05	0.00024757345	0.8508425	0.0
bp10MB1	0.0	0.5849282	0.0	0.0	0.055450372	0.012092587	2.9721784e-32	0.0	0.21486935
bp10MB2	1.8882893e-38	0.22643822	0.0	0.0	0.104708485	0.024645638	0.0	0.0	0.23751846
bp10MB3	0.025597146	0.004240748	0.0	0.0	0.04970876	0.08040821	0.056819513	0.0	0.020781213
bpchrarm1	0.0	0.07353435	0.0	0.0	0.0038962245	8.866492e-13	0.0	0.0	0.0017169476
bpchrarm2	0.0	0.039023805	0.0	0.016986936	0.0018262311	0.0	0.0	0.0	0.039870247
bpchrarm3	0.016078291	0.0011070417	0.0	0.0	0.010149145	0.013816723	0.010695265	0.0	0.032418836
bpchrarm4	8.622301e-07	0.0	0.0	0.0	0.009951722	0.009942473	0.0008140564	0.0	0.0
bpchrarm5	0.0	0.0	0.0	0.0	0.0	0.002466705	0.0	0.01318615	0.0
osCN1	0.0	0.0013068126	0.0	0.0	0.23344842	0.0	0.243794	0.0	0.06948469
osCN2	0.005769898	0.0	0.0	0.0	0.060259912	0.042037528	0.086167276	0.0	0.019226527
osCN3	0.003424036	0.0	0.0	0.0	0.0	0.010430134	0.0011302925	0.0	0.0
