	W1	W2	W3	W4	W5	W6	W7	W8
segsize1	0.0	0.06243966	0.0014617587	0.0015655687	0.004503919	0.0	0.0	0.012321923
segsize2	0.0	0.057414882	0.0012346082	0.002235051	0.0039116056	0.0	0.0	0.015054852
segsize3	0.0012090978	0.070833825	0.0007772225	0.008829411	0.0054175146	0.0009346944	0.009461163	0.03573847
segsize4	0.0006573955	0.08321913	0.0016459385	0.038068246	0.0011812131	0.013168359	3.6557963e-29	0.08243254
segsize5	2.8211403e-08	0.035767157	0.00034263317	0.040797018	0.0	0.015376927	0.0	0.074300885
segsize6	3.417384e-23	0.021878684	1.1588521e-16	0.040544357	0.0	0.023649435	0.0	0.06056901
segsize7	0.0	0.0	0.0013675244	0.04678816	1.4378097e-31	0.039471593	0.0	0.039342914
segsize8	0.0	0.0	0.0003524227	0.027848337	0.008272855	0.030734103	0.0	0.014995575
segsize9	0.0	0.0	0.00033781864	0.015999373	0.0068497146	0.021891974	0.0	0.005830601
segsize10	0.0	0.0012792305	4.4713144e-31	0.022456137	0.015150623	0.032548692	0.0	0.006379469
segsize11	0.0	0.0	0.0	0.021597514	0.022334974	0.029381722	0.0	0.0043223044
segsize12	0.0	0.0	0.0	0.019009927	0.026495587	0.028038876	0.0	0.001614592
segsize13	0.0	0.0	0.00044570392	0.01197352	0.020799804	0.014908846	8.949467e-39	0.0
segsize14	0.0017571605	0.0	0.0003423197	0.006901982	0.015135603	0.005695957	0.008984086	0.0
segsize15	0.023562185	0.0	0.0008058406	0.0050618453	0.025647689	0.006312757	0.027526662	0.0
segsize16	0.025797606	0.0	0.0016853318	0.0013418334	0.010652369	0.0018336122	0.056811385	0.0
segsize17	0.028108109	0.002245928	0.0021664111	3.2385888e-05	0.016350219	0.0023454688	0.06545612	0.0
segsize18	0.046060063	0.0	0.0023322683	0.0	0.0071597467	0.0	0.041468125	0.0
segsize19	0.020248802	7.9109e-41	0.0020175183	0.0	0.006370843	0.0	0.04693223	0.0
segsize20	0.011853396	3.35073e-07	0.00205779	0.0	0.001164183	0.0	0.06318019	0.0
segsize21	0.022630231	0.0005362539	0.003972833	0.0	0.0020435133	0.0	0.09229152	0.0
segsize22	0.0	0.0	0.0060840324	0.0	0.0	0.0	0.15019429	0.0
changepoint1	0.0	0.0	0.011003014	0.0	0.0031779178	0.10353793	2.1547648e-06	0.0
changepoint2	0.0	0.0	0.0065493174	0.0041970965	0.013137621	0.2222424	1.9962754e-37	3.4390926e-09
changepoint3	0.0	0.0	0.008208676	0.0	0.095076844	0.0	0.0	0.22345604
changepoint4	0.0	0.0	0.0043340763	0.04911409	0.057413585	0.0	0.113914676	0.119184665
changepoint5	0.0	0.0	0.0	0.14264253	0.011702776	0.0	0.31739414	0.0050196345
changepoint6	0.2185625	0.0	0.0	0.039104834	0.0	0.0	0.004644607	0.0
changepoint7	0.26956037	0.0	0.0	0.018663565	0.0	0.0	0.0	0.0
changepoint8	0.20010926	0.01898248	2.0185898e-05	0.016602803	0.0	0.0	0.0014779422	0.0
changepoint9	0.12473194	0.05291219	2.9226843e-05	0.009037766	0.0	0.0	0.0002482389	3.2978787e-05
changepoint10	0.002060045	0.27577865	3.0728632e-05	0.0022270565	1.4017194e-06	0.0	0.0	4.908042e-35
bp10MB1	0.0	0.0	0.5907529	0.035102308	0.21593037	1.9327835e-32	0.0	0.013506146
bp10MB2	0.0	0.0	0.22886603	0.082949154	0.23915096	0.09371755	0.0	0.044727862
bp10MB3	0.0	0.026964156	0.004935229	0.048930593	0.018966414	0.02944749	0.0	0.07839467
bpchrarm1	0.0	0.0	0.07386507	2.701995e-39	0.0	0.0	0.0	1.1583218e-24
bpchrarm2	0.0030918184	0.0	0.04000598	2.6379753e-08	0.04388503	0.0015546555	5.3881456e-38	0.0
bpchrarm3	0.0	0.0	0.0019695722	0.013423904	0.034251306	0.009343236	0.0	0.01226623
bpchrarm4	0.0	0.0023225613	0.0	0.007130672	0.0	0.0029681511	0.0	0.012071256
bpchrarm5	0.0	0.0047227684	0.0	0.0	0.0	0.0	0.0	0.0017891485
osCN1	1.8367198e-32	0.23192278	0.0	0.16596062	0.049860477	0.24141422	0.0	0.07183264
osCN2	0.0	0.050779276	0.0	0.052568596	0.018003274	0.029481264	0.0	0.057235535
osCN3	0.0	0.0	3.969068e-31	0.0012937223	0.0	0.0	1.25772185e-05	0.0075800577
