	W1	W2	W3	W4	W5	W6	W7	W8	W9
segsize1	0.008898608	0.0	0.0	0.0	0.06363692	0.024245303	0.0055389493	0.0013897793	0.014120377
segsize2	0.014031626	0.0	0.0	0.0	0.05896237	0.026088592	0.00411037	0.00041624377	0.01923513
segsize3	0.03127544	0.0	0.00963999	0.0	0.074815616	0.05075989	0.0015362942	3.4133862e-08	0.052752312
segsize4	0.05266441	0.018712848	0.035825294	0.0	0.094492696	0.0828991	7.226052e-37	0.0	0.11425694
segsize5	0.00011059188	0.054301735	7.4511775e-07	0.000593063	0.029627932	0.020642418	0.0016892825	0.0004911742	0.07603548
segsize6	0.0	0.06284341	0.0	0.00090960687	0.010290174	2.066619e-27	0.002034286	0.0028980423	0.045563225
segsize7	0.0	0.06533441	0.0	0.0016286414	0.0	0.0	0.0045381165	0.009147218	0.014134954
segsize8	0.0	0.037592582	0.0	0.0006777251	0.0	0.0	0.001926775	0.013834016	0.00074567087
segsize9	0.0041148313	0.020166814	0.0	0.00050945743	0.0	0.0	0.00089410675	0.010484679	7.315279e-34
segsize10	0.0029190725	0.02721635	0.0	0.00019915214	6.536573e-37	2.94e-42	0.0005169933	0.020376483	6.0036e-41
segsize11	6.28785e-17	0.023443306	0.0	1.622717e-37	0.0	0.0024915696	0.0	0.02687683	8.076434e-34
segsize12	0.004144662	0.01797008	0.0	0.0	0.0	0.007885021	0.0	0.029526867	0.0
segsize13	1.4171042e-21	0.009190033	2.6477966e-20	0.00045655016	0.0	0.010403837	0.0	0.021918312	0.0
segsize14	3e-43	0.003369793	0.007779425	0.00071293616	2.2488298e-24	0.0141372485	0.0	0.014436839	1.4086762e-23
segsize15	2.967777e-08	0.00013391902	0.032126825	0.002608978	4.028354e-18	0.018527571	0.0	0.02289532	2.865997e-21
segsize16	0.0	0.0	0.014063578	0.006292083	6.8493115e-05	0.008889076	0.0	0.008887668	0.0
segsize17	0.0	6.7957723e-38	0.009600407	0.007971681	0.0026045826	0.0029747335	0.0	0.013627413	5.150395e-09
segsize18	0.0	0.0	0.025850812	0.0064851576	9.1005803e-10	1.052745e-36	0.00028235948	0.005521867	0.0
segsize19	0.0	0.0	0.009007567	0.0063240416	9.612696e-05	0.0024921051	4.0188748e-18	0.004671749	0.0
segsize20	0.0	0.0	0.0027818754	0.0074333725	0.0006575815	3.1439404e-06	0.0	0.00069236784	0.0
segsize21	0.0	0.0	0.005284604	0.012356033	0.0021744275	0.0	2.1041323e-11	0.0011749755	0.0
segsize22	1.01837e-06	5.077571e-18	0.0	0.018171549	0.0	0.0	0.0	0.0	2.2697806e-07
changepoint1	0.27437374	9.594659e-18	0.0	0.009492435	1.9588398e-26	2.866618e-07	0.0030146742	0.00762808	0.006859104
changepoint2	0.49786487	0.01407216	0.0	0.003029719	0.0	0.0	3.6268514e-14	0.023919124	4.788148e-22
changepoint3	0.0	5.425969e-06	0.0	0.0074276906	0.0	0.0	0.008810571	0.07599894	0.31608745
changepoint4	0.0	0.03729352	0.0	0.01092565	0.0	0.09806535	4.0560535e-14	0.046017308	0.15944922
changepoint5	0.0	0.07626758	0.0	0.007584154	0.0	0.47783652	0.0	0.0034767725	8.8859736e-10
changepoint6	0.0	0.02099954	0.25660518	2.6598763e-09	0.0	0.036535412	0.0	0.0	0.0
changepoint7	0.0	0.008978126	0.26233214	0.0	0.0040555764	0.00546916	0.0	0.0	0.0
changepoint8	0.0	0.008617991	0.2049672	6.3319276e-05	0.019733068	0.006330198	0.0	8.8543395e-35	0.0
changepoint9	0.0	0.0056019505	0.12413425	0.000111221176	0.05430514	4.027752e-21	0.0	0.0	0.0
changepoint10	0.0	0.0017949316	2.8221236e-15	6.791217e-05	0.3051054	2.6260225e-22	0.0	5.909757e-21	0.0
bp10MB1	0.0	0.027993402	0.0	0.5599738	2.8944562e-31	1.2282435e-29	0.5928489	0.1969989	7.9471305e-05
bp10MB2	0.0	0.08814462	0.0	0.21549404	0.0	4.811181e-08	0.23982401	0.2354524	0.015107402
bp10MB3	1.3078809e-12	0.05712388	0.0	0.0034907483	0.021861944	0.04084465	0.009258679	0.021871086	0.07835485
bpchrarm1	0.008199144	0.0012982431	0.0	0.069105215	0.0	0.0	0.074459165	1.9723922e-11	0.0
bpchrarm2	0.0	0.0	0.0	0.039700482	0.0	0.0	0.036874883	0.03701225	0.0
bpchrarm3	0.0	0.007553649	1.5054963e-35	6.116193e-36	2.5e-44	0.031131001	0.005325656	0.031815067	0.014752271
bpchrarm4	5.534124e-10	0.012445956	0.0	4.285664e-09	0.0010203349	0.0	0.0	0.0	0.008572678
bpchrarm5	0.0	0.0	0.0	0.0	0.0054184445	0.0	0.0	0.0	0.0023544268
osCN1	0.10137596	0.23052326	0.0	0.00020360613	0.2015704	0.0	0.0056644185	0.08773055	1.6095311e-19
osCN2	0.0	0.06043705	0.0	0.0	0.049390405	0.02789144	0.00085162115	0.022811702	0.051301308
osCN3	2.602423e-05	0.0005734303	0.0	0.0	0.00011233299	0.0034563902	0.0	0.0	0.01023754
