	W1	W2	W3	W4	W5	W6	W7	W8	W9
segsize1	0.0	0.002743733	0.00083359453	0.020100318	0.0	0.015204603	0.0686538	0.004434685	0.0
segsize2	9.388883e-14	0.0016949286	0.00037284358	0.024664726	0.0	0.019639373	0.0633907	0.010339223	0.0
segsize3	0.025882503	0.0007702782	0.0	0.057301838	0.0	0.0405312	0.07626434	0.029305594	0.0
segsize4	0.054645028	0.0	0.0	0.11121253	0.02400975	0.066003054	0.0901113	0.04109783	0.0
segsize5	0.022330532	0.0	3.0497407e-07	0.07637476	0.0502229	0.020380033	0.029352948	0.005049368	0.0
segsize6	9.949183e-20	1.724613e-14	0.0014498172	0.0442871	0.06160297	6.056668e-12	0.00955183	0.0	0.0
segsize7	0.0	0.007705866	0.0025194963	0.013683018	0.061647255	0.0	0.0	0.0	0.0
segsize8	0.0	0.013032071	0.0010035043	1.3083494e-08	0.035857942	0.0	0.0	0.0	0.0
segsize9	0.0	0.010072079	0.0006584108	0.0	0.019501079	0.0	0.0	0.0	0.0
segsize10	0.0	0.019735582	0.00023972243	0.0	0.026454747	0.0	7.324491e-21	4.4633917e-36	0.0
segsize11	0.0	0.02613926	0.0	0.0	0.023364626	6.9547805e-11	0.0	0.0	0.0
segsize12	0.0	0.029366996	0.0	0.0	0.018662827	0.0033105807	0.0	0.0005137359	0.0
segsize13	9.582495e-24	0.022052702	0.0001257424	0.0	0.009303527	0.010802753	0.0	2.0934799e-08	0.0
segsize14	0.008180393	0.014746349	0.00029809287	0.0	0.0034955265	0.014665691	0.0	4.2272156e-08	0.0
segsize15	0.032155108	0.023443498	0.0010861952	0.0	0.0	0.023670968	0.0	0.0060538435	0.0
segsize16	0.01518319	0.009864124	0.0016318001	0.0	0.0	0.011485825	0.0	9.6724115e-15	0.08340061
segsize17	0.01233148	0.014926545	0.0021991597	0.0	0.0	0.00572569	0.0022008943	0.0	0.101115525
segsize18	0.025108984	0.006223467	0.0026572833	0.0	0.0	0.0	0.0	0.0	0.06391746
segsize19	0.0106288865	0.0057910904	0.0021253482	0.0	0.0	1.420471e-18	6.9521e-41	0.0	0.07587396
segsize20	0.002012156	0.0014597687	0.0015701546	0.0	0.0	0.0	0.0006540167	0.0	0.12987776
segsize21	0.0076802974	0.002076201	0.003635862	0.0	0.0	0.0	0.0011849873	0.0	0.18160142
segsize22	0.0	0.0	0.0041948007	0.0	0.0	0.0	0.0	0.0	0.34146106
changepoint1	0.0	0.0068539632	0.0076082847	0.0063406755	9.95549e-05	0.0062772213	0.0	0.2955657	0.0
changepoint2	0.0	0.022808433	0.0020139609	0.0	0.014709923	0.0	0.0	0.523517	0.0
changepoint3	0.0	0.07121333	0.007432862	0.30991137	0.017910836	0.0	0.0	0.0	0.0
changepoint4	0.0	0.045687083	0.006354612	0.14942743	0.04338003	0.121690445	0.0	0.0	4.5650107e-12
changepoint5	5.304279e-13	0.011868773	0.0	0.00020820438	0.06579176	0.5440542	0.0	0.0	0.0
changepoint6	0.23693402	3.881756e-17	0.0	0.0	0.017701877	0.031619947	0.0	0.0	3.7203e-41
changepoint7	0.23104633	0.0	0.0	0.0	0.0074904566	0.0	0.0	0.0	0.012769095
changepoint8	0.18732679	2.1049161e-31	6.7282855e-23	0.0	0.00729528	1.8605094e-13	0.01599245	0.0	0.0076463823
changepoint9	0.11656876	0.0	8.872537e-06	0.0	0.0042964676	0.0	0.049832433	0.0	0.0019505478
changepoint10	0.011964068	4.4836234e-38	0.0	0.0	0.0014874695	0.0	0.3017098	0.0	0.00038622518
bp10MB1	0.0	0.19616003	0.5968152	1.0834502e-06	0.0340958	0.0	0.0	0.0	0.0
bp10MB2	0.0	0.23395625	0.23164935	0.017211156	0.09176486	0.0	0.0	0.0	0.0
bp10MB3	4.1890297e-10	0.021140864	0.004858919	0.08048857	0.057021495	0.02955666	0.02559151	0.0	0.0
bpchrarm1	0.0	0.0	0.07429785	0.0	0.0018550901	0.0	0.0	0.0	0.0
bpchrarm2	2.1448413e-05	0.03886872	0.040214095	0.0	0.0	0.0	0.0	0.0	0.0
bpchrarm3	1e-45	0.032424677	0.0013037472	0.02012826	0.008766015	0.016844435	1.6877776e-10	0.0	0.0
bpchrarm4	1.4473879e-08	0.0	0.0	0.0072418875	0.011907617	0.0	0.001144759	9.339304e-25	0.0
bpchrarm5	4.4623966e-12	0.0	0.0	0.0023764267	0.0	0.0	0.005721192	0.0	0.0
osCN1	3.8116788e-32	0.08492399	0.00084009994	2.455606e-26	0.21859874	0.0	0.20664309	0.08412296	0.0
osCN2	4.44145e-11	0.022249375	0.0	0.048873156	0.06084285	0.01562308	0.051790234	0.0	0.0
osCN3	0.0	0.0	0.0	0.010167448	0.00086071686	0.0029143167	0.00020962335	0.0	0.0
