	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0007679462	0.0002538387	0.0	0.0	0.0	0.0	0.13990171	0.005617508	0.0	0.0
segsize2	0.0014082469	0.0002229555	0.0032814646	0.0	0.0	0.0	0.13216442	0.0047758888	0.0	0.0
segsize3	0.001854614	4.8267196e-24	0.028177707	3.0129236e-23	0.0	0.015578238	0.1541103	0.011158568	0.0	0.0
segsize4	5.5688827e-07	0.0	0.09376533	0.03793901	0.0	0.04789756	0.14017649	0.03449544	0.0	0.013341776
segsize5	2.6540334e-30	0.00017509118	0.087807424	0.017634612	0.0	0.019483877	0.01915673	0.048509147	0.0	0.0
segsize6	0.0013903601	0.0010139811	0.061946962	0.0	0.0	0.0020027496	0.0	0.054680124	0.0	0.0
segsize7	0.007661338	0.0023343975	0.029806556	0.0	0.0	0.0	0.0	0.055874947	0.0	0.0
segsize8	0.012937787	0.00091017893	0.008179131	0.0	0.0	0.0	0.0	0.03293114	0.0	3.6943595e-05
segsize9	0.009930168	0.00052352925	0.0022181845	0.0	0.0	0.0	0.0	0.018287139	0.0	0.0076688062
segsize10	0.019651819	0.00011109438	0.0015230358	0.0	0.0	0.0	0.0	0.025397802	0.0	0.0068088667
segsize11	0.026205325	0.0	1.8646203e-06	0.0	0.0	0.0	0.0	0.02297706	0.0	6.1173458e-12
segsize12	0.029449755	0.0	0.0	0.0	0.0	0.0	0.0	0.018775562	0.0	2.8901606e-12
segsize13	0.021962399	4.903121e-05	0.0	0.0	0.0	0.010965717	0.0	0.009540146	0.0	1.059227e-23
segsize14	0.014680762	0.00021700295	0.0	0.010631142	0.0	0.015913842	0.0	0.003612453	0.0	8.938142e-21
segsize15	0.023431849	0.00088056305	0.0	0.038140874	0.0	0.027369536	0.0	4.9550936e-37	0.0	0.005586345
segsize16	0.009763699	0.0015268128	0.0	0.019913103	0.0	0.012535758	0.0	0.0	0.085777774	0.0
segsize17	0.014484568	0.0021472238	0.0	0.018518506	0.0025675173	0.0070892684	0.0	0.0	0.10293158	0.0
segsize18	0.006072951	0.0026278081	0.0	0.029403597	0.0	0.0	0.0	0.0	0.06448209	0.0
segsize19	0.0054281596	0.002097313	0.0	0.012740274	0.0	0.00284179	0.0	0.0	0.075343594	0.0
segsize20	0.0013388289	0.0015877739	0.0	0.0038454612	2.7575892e-38	1.5341738e-38	0.0	0.0	0.13252172	0.0
segsize21	0.0019009884	0.003659467	0.0	0.011349629	1.4658301e-16	0.0	0.0	0.0	0.18537462	0.0
segsize22	0.0	0.004051421	0.0	0.0	0.0	0.0	0.0	0.0	0.35356858	3.6303874e-07
changepoint1	0.0079064295	0.0073176534	0.0023046036	0.0	0.0	0.0041629523	0.011155304	5.4429e-40	0.0	0.32100308
changepoint2	0.023688758	0.0015490507	2.1493024e-21	0.0	0.0	0.0	0.0	0.013409435	0.0	0.577875
changepoint3	0.07936373	0.0063109244	0.31999028	0.0	0.0	0.0	0.0	1.7995197e-30	0.0	0.0
changepoint4	0.05025962	0.00515857	0.16404662	0.0	0.0	0.1502803	0.0	0.031527348	0.0	0.0
changepoint5	0.014000305	6.458516e-10	0.0070295325	9.4e-44	0.0	0.60931176	6.9222394e-32	0.07064728	0.0	0.0
changepoint6	2.6384847e-05	0.0	0.0	0.22994933	0.0	0.031241493	0.0	0.02264388	0.0	0.0
changepoint7	8.8528054e-07	0.0	0.0	0.23880772	0.0	0.0	8.811106e-06	0.01023678	4.636899e-22	0.0
changepoint8	1.3939941e-11	3.6249363e-05	0.0	0.19220762	0.023437733	0.0039002046	0.00038534193	0.009873083	0.0	0.0
changepoint9	0.0	5.4466334e-05	0.00010381736	0.123072766	0.12096582	0.0	0.0	0.005971781	0.0	0.0
changepoint10	0.0	9.136875e-06	0.0	0.01584641	0.8395046	0.0	0.00021876705	0.0018472443	0.0	0.0
bp10MB1	0.19283976	0.6015192	1.3478309e-08	0.0	0.0	0.0	0.0	0.031196203	0.0	0.0
bp10MB2	0.23291625	0.23268852	0.027820896	0.0	0.0	0.0	0.0	0.084403425	0.0	0.0
bp10MB3	0.021970466	0.004529446	0.081479035	0.0	0.0	0.021184329	0.05627725	0.05375708	0.0	0.0
bpchrarm1	1.1431599e-19	0.0747138	0.0	0.0	0.0	0.0	0.0	0.0013783782	0.0	0.0052226046
bpchrarm2	0.037895784	0.040568255	0.0	3.8447712e-38	0.0	0.0	0.0	0.0	0.0	0.0
bpchrarm3	0.033230256	0.0011552401	0.015808364	0.0	0.0	0.014451652	0.012519331	0.008156944	0.0	0.0
bpchrarm4	0.0	0.0	0.009852219	0.0	0.0	0.0	0.000516659	0.01098696	0.0	0.0
bpchrarm5	0.0	0.0	0.002617096	0.0	0.013524365	0.0	0.0	0.0	0.0	0.0
osCN1	0.07474746	1.6834142e-10	0.0	0.0	0.0	0.0	0.24593076	0.23312737	0.0	0.062456116
osCN2	0.020831732	0.0	0.041817687	0.0	0.0	0.0	0.08659251	0.06368066	0.0	0.0
osCN3	0.0	0.0	0.010422209	0.0	0.0	0.0037890514	0.0008855731	0.0005232688	0.0	0.0
