	W1	W2	W3	W4	W5	W6	W7	W8	W9
segsize1	0.18477553	0.00989767	0.0	0.0005928132	0.0	0.00025848273	0.0	8.3138e-41	0.0061749304
segsize2	0.18250488	0.0084181335	0.0	0.0012258758	0.0	0.00020900051	0.0	7.4915863e-31	0.006592223
segsize3	0.20211244	0.023325413	0.0	0.0022027777	0.018230317	0.00023336615	0.0024630378	0.0008617817	0.011250107
segsize4	0.1659746	0.06139195	0.0	2.6240613e-17	0.06709579	0.0010326346	0.0	0.014545718	0.032352462
segsize5	0.0	0.064138256	0.0	0.0	0.07625818	0.0003425892	0.0	0.017334035	0.028739747
segsize6	0.0	0.052575298	0.0	0.0	0.0662843	5.327177e-05	0.0	0.024040591	0.027760522
segsize7	0.0	0.0341625	0.0	0.00076965004	0.04767107	0.0011850214	0.0	0.038669884	0.03616417
segsize8	0.0	0.012397789	0.0	0.007592423	0.02085347	0.00031680212	0.0	0.03072888	0.025199847
segsize9	0.0	0.0029291415	0.0	0.005967169	0.009572435	0.00034766796	0.0	0.022194428	0.016298147
segsize10	0.0	0.0048600254	0.0	0.013321965	0.010680433	0.0	0.0	0.033817764	0.024209328
segsize11	0.0	0.0	0.0	0.020275727	0.007566694	0.0	0.0	0.029899579	0.026308347
segsize12	0.0	0.0	0.0	0.025042064	0.0033906095	0.0	0.0	0.027319273	0.024159914
segsize13	0.0	8.510581e-34	0.0	0.01997317	0.0	0.0004606247	0.0	0.014348714	0.016058965
segsize14	0.0	0.0011490261	0.0	0.014923984	0.0	0.00030732382	0.008139483	0.0049894685	0.009008962
segsize15	0.0	0.0049462044	0.0	0.02634332	0.0	0.00064754725	0.02771582	0.0031274862	0.007361321
segsize16	0.0	0.004154498	0.0	0.011543812	0.0	0.0012339043	0.06264855	0.00020499833	0.0020192282
segsize17	0.0	0.005601569	0.0	0.017418738	0.0	0.001731667	0.072336204	1.1127314e-10	0.0004915011
segsize18	0.0	0.0075548477	0.0	0.0077817813	0.0	0.00199771	0.049553495	0.0	0.0
segsize19	0.0	0.0029352598	0.0	0.0069267782	0.0	0.0017070065	0.051200844	0.0	0.0
segsize20	0.0	0.0015307199	0.0	0.0014061426	0.0	0.0016682189	0.069176234	0.0	0.0
segsize21	0.0	0.004135959	0.0	0.002341007	0.0	0.0033669246	0.10183341	0.0	0.0
segsize22	0.0	0.0	0.0	0.0	0.0	0.0051353266	0.16323063	0.0	0.0
changepoint1	0.0071207886	0.0	0.0	0.0026285355	0.0	0.011345129	2.6702131e-21	0.103863366	0.0
changepoint2	0.0	0.0	0.0	0.011862789	0.002491594	0.0073271035	2.9274648e-28	0.22656079	0.0025185235
changepoint3	0.0	0.0	0.0	0.09977768	0.20860332	0.00918777	0.0	0.0	0.0
changepoint4	6.8309086e-33	0.0	0.0	0.056045856	0.11964575	0.0053633857	0.095788494	0.0	0.057921067
changepoint5	0.048659038	0.0	0.0	0.0021093478	0.010501552	0.0	0.2626861	0.0	0.17894413
changepoint6	0.0	0.06591265	0.0	0.0	0.0	0.0	0.016096244	0.0	0.039508592
changepoint7	0.0	0.07623474	0.0	0.0	0.0	0.0	0.009538856	0.0	0.016127463
changepoint8	0.0	0.075177	0.0	0.0	0.0	1.7631985e-05	0.005977772	0.0	0.012652211
changepoint9	7.685677e-29	0.07225352	0.0	0.0	0.0009448459	3.5062124e-06	0.0016148567	0.0	0.0048498306
changepoint10	0.0	0.048090424	0.9902599	0.0	0.00028149376	2.7331942e-06	0.0	6.2736415e-13	0.00080883777
bp10MB1	0.0	6.5005473e-18	0.0	0.23860702	0.015411281	0.5936902	0.0	0.0	0.036886547
bp10MB2	0.0	0.0	0.0	0.24731657	0.051350825	0.22959183	0.0	0.08418254	0.10076351
bp10MB3	0.044127267	0.03648809	0.0	0.018443273	0.077170625	0.0048163156	0.0	0.03181876	0.04515701
bpchrarm1	0.0	0.0	0.0	0.0	0.0	0.07532569	0.0	0.0	1.09218466e-16
bpchrarm2	0.0	0.003552941	0.0	0.047304805	0.0	0.039260972	1.8971401e-15	0.0	2.7522809e-24
bpchrarm3	0.009985738	0.0	0.0	0.033688765	0.010926846	0.0018325106	0.0	0.008021595	0.018032923
bpchrarm4	0.0	0.005618162	0.0	0.0	0.013420447	0.0	0.0	0.0038715594	0.0052619167
bpchrarm5	0.0	0.001784257	0.00974015	0.0	0.0016245791	0.0	0.0	0.0	0.0
osCN1	0.07994639	0.26651663	0.0	0.041900143	0.09501553	0.0	0.0	0.24769206	0.12812345
osCN2	0.07127062	0.04226729	0.0	0.014662149	0.057997674	0.0	0.0	0.031906653	0.050893027
osCN3	0.0035227349	0.0	0.0	3.7987154e-06	0.0070103584	1.4028477e-07	9.697238e-12	0.0	0.0014011979
