	W1	W2	W3	W4	W5	W6	W7	W8	W9
segsize1	0.0	0.0043607624	0.020988557	0.016803894	0.00085287425	0.0	0.0026811268	2.1175313e-15	0.06815257
segsize2	0.0	0.010266016	0.025605494	0.020151416	0.00037229457	0.0	0.0016192186	0.0030023528	0.06259878
segsize3	0.0	0.029510584	0.05873585	0.040218208	0.0	0.0	0.00068857474	0.030719478	0.07537693
segsize4	0.024405697	0.042409264	0.11283126	0.06360309	0.0	0.0	0.0	0.06150735	0.08843973
segsize5	0.052635543	2.3785185e-17	0.0739214	0.013776746	0.000730597	0.0	0.0	0.018763404	0.027566066
segsize6	0.059821423	0.0	0.041984133	0.0	0.0012052514	0.0	0.0026016487	1.381875e-39	0.010805481
segsize7	0.06082727	0.0	0.012654061	0.0	0.0024748787	0.0	0.008713965	0.0	0.0
segsize8	0.035206426	0.0	6.1037893e-12	0.0	0.0009764681	0.0	0.013419625	0.0	0.0
segsize9	0.019120539	0.0	0.0	0.0	0.00064139016	0.0	0.010268457	0.0	0.0
segsize10	0.026007583	0.0	0.0	0.0	0.00021588696	0.0	0.019873219	0.0	2.6951062e-32
segsize11	0.023017405	0.0	0.0	6.795334e-37	0.0	0.0	0.026076967	0.0	0.0
segsize12	0.018827444	1.14855e-12	0.0	0.0	0.0	0.0	0.029389234	0.0	0.0
segsize13	0.009376404	5.309372e-10	0.0	0.00971171	0.00015091055	0.0	0.021885093	0.0009959459	0.0
segsize14	0.0034808298	5.004373e-05	0.0	0.014003013	0.00029442177	0.0	0.01455361	0.010679878	0.0
segsize15	0.0	0.0063915574	0.0	0.023197737	0.0010523519	0.0	0.023122005	0.033607088	0.0
segsize16	0.0	4.1463642e-13	0.0	0.01135514	0.0016344346	0.08393724	0.009690681	0.016782207	0.0
segsize17	0.0	0.0	0.0	0.0051621324	0.0022190448	0.10125409	0.014661069	0.014491205	0.0020021847
segsize18	0.0	0.0	0.0	0.0	0.002676252	0.062921695	0.0060689053	0.024118507	0.0
segsize19	0.0	0.0	0.0	0.0	0.002130521	0.075987555	0.0056492384	0.010982755	0.0
segsize20	0.0	0.0	0.0	0.0	0.0015529641	0.13285837	0.0014159192	0.0027235697	0.000525792
segsize21	0.0	0.0	0.0	0.0	0.0036140115	0.18545665	0.0020064227	0.008351614	0.0010015186
segsize22	0.0	3.5589994e-07	0.0	0.0	0.004034538	0.35655752	0.0	0.0	0.0
changepoint1	0.00033076343	0.29387575	0.006208465	0.006054585	0.0076156566	0.0	0.0069227465	0.0	0.0
changepoint2	0.014479299	0.52120805	0.0	0.0	0.0019305251	0.0	0.023040552	0.0	0.0
changepoint3	0.018575558	0.0	0.3122764	0.0	0.007491716	0.0	0.070435256	0.0	0.0
changepoint4	0.04458666	0.0	0.14938144	0.12561937	0.0064766696	8.513941e-18	0.04613456	0.0	0.0
changepoint5	0.06612526	0.0	0.0009147815	0.56638736	0.0	0.0	0.013615385	0.03440231	0.0
changepoint6	0.01821573	0.0	0.0	0.025306107	0.0	0.0	1.8237797e-09	0.22090538	0.0
changepoint7	0.007287784	0.0	0.0	0.0	0.0	0.0	0.0	0.21410121	0.0
changepoint8	0.0073348307	0.0	0.0	0.0	5.2025578e-05	0.0010268614	0.0	0.16964233	0.015913138
changepoint9	0.004396484	0.0	0.0	0.0	3.585643e-05	0.0	0.0	0.10353105	0.05076358
changepoint10	0.0014495241	0.0	0.0	0.0	1.0580369e-27	0.0	3.299e-42	0.011443834	0.30528197
bp10MB1	0.03559125	0.0	1.7681655e-09	0.0	0.59673154	0.0	0.1926252	7.62e-43	0.0
bp10MB2	0.092036605	0.0	0.016335888	0.0	0.23148341	0.0	0.23141095	0.0	0.0
bp10MB3	0.057393674	0.0	0.07971707	0.026527254	0.0049961433	0.0	0.021902028	9.159846e-06	0.025341457
bpchrarm1	0.0018940992	0.0	0.0	0.0	0.07427765	0.0	0.0	0.0	0.0
bpchrarm2	0.0	0.0	0.0	0.0	0.04001988	0.0	0.037847225	0.00867584	0.0
bpchrarm3	0.009037251	0.0	0.020266863	0.015727581	0.0013305952	0.0	0.032164004	0.00056306337	0.0
bpchrarm4	0.012008518	3.8471563e-34	0.007144993	0.0	0.0	0.0	0.0	3.2728675e-08	0.0010891283
bpchrarm5	0.0	0.0	0.0024123308	0.0	0.0	0.0	0.0	1.1126336e-16	0.005794793
osCN1	0.2148063	0.09192749	3.947942e-33	0.0	0.00072924	0.0	0.086481914	4.78e-42	0.20754443
osCN2	0.06075357	0.0	0.048409164	0.013325276	0.0	0.0	0.023035202	1.8740083e-07	0.051802423
osCN3	0.00097026577	0.0	0.010211808	0.0030694236	0.0	0.0	0.0	1.6471989e-07	0.0
