	W1	W2	W3	W4	W5	W6	W7	W8	W9
segsize1	0.0	0.06347878	0.02440839	0.0053075417	0.015036556	0.0	0.009902689	0.0011006385	0.0
segsize2	0.0	0.059090573	0.026454505	0.0038588399	0.020347664	0.0	0.015568586	2.6982706e-08	0.0
segsize3	0.008871217	0.07610702	0.04949242	0.0011920123	0.054160103	0.0	0.031925447	0.0	1.4328e-41
segsize4	0.03074691	0.09422718	0.07898529	2.9979377e-09	0.11297544	0.0	0.050699357	0.0	0.02213527
segsize5	1e-45	0.028076699	0.018713098	0.0017223129	0.07477013	0.0005107647	1.1470478e-05	0.0010759295	0.055902477
segsize6	0.0	0.0090103485	0.0	0.0020615964	0.044180825	0.00074554235	0.0	0.0038632452	0.063383766
segsize7	0.0	0.0	0.0	0.0045277453	0.012933201	0.0014914211	0.0	0.010480856	0.06458399
segsize8	0.0	0.0	0.0	0.001872292	0.00026731697	0.000637821	0.0	0.0146874385	0.03679611
segsize9	0.0	0.0	0.0	0.00085661764	0.0	0.0005013923	0.003724305	0.010963429	0.019617055
segsize10	0.0	0.0	0.0	0.00047317377	0.0	0.00020264454	0.0019889786	0.021078205	0.026420584
segsize11	0.0	0.0	0.0040100487	0.0	0.0	1.77388e-40	3.9220785e-21	0.027282698	0.02254305
segsize12	0.0	0.0	0.009576425	0.0	0.0	0.0	0.0038906299	0.029815689	0.017170295
segsize13	1e-45	0.0	0.011783254	0.0	0.0	0.00048377604	3.0929904e-31	0.021906994	0.008754843
segsize14	0.007154222	0.00012264245	0.015080856	0.0	1.253524e-20	0.00076575443	0.0	0.014265956	0.003252012
segsize15	0.030742336	0.0007279697	0.019582104	0.0	4.6119958e-14	0.0027336653	3.5958264e-34	0.022572184	0.00012037768
segsize16	0.012950664	0.00043844408	0.009426995	0.0	0.0	0.0063705184	0.0	0.008654347	0.0
segsize17	7.8877855e-09	0.0037468453	0.00545367	0.0	0.0	0.008142978	0.0	0.013466106	0.0
segsize18	0.02598316	0.00032839485	0.00015074285	0.00028428706	0.0	0.0065516825	0.0	0.0053892103	0.0
segsize19	0.008149429	0.00034522763	0.003341475	1.4501184e-22	0.0	0.0063803135	0.0	0.004433544	0.0
segsize20	0.0	0.00092191575	0.0028588783	0.0	0.0	0.007575396	0.0014353623	0.0	0.0
segsize21	0.0045446386	0.002456678	0.0	7.274076e-18	0.0	0.012409259	0.0	0.0009842605	0.0
segsize22	0.0	0.0	0.0	0.0	0.0	0.01798423	7.61683e-07	0.0	1.4391666e-08
changepoint1	0.0	1e-45	0.00085971184	0.003052094	0.0071113356	0.009463771	0.27499044	0.007464284	4.164405e-28
changepoint2	0.0	0.0	0.0	8.469771e-18	6.3173463e-37	0.0031357948	0.4954587	0.024550017	0.013616903
changepoint3	0.0	0.0	0.0	0.008398066	0.3171846	0.0074760327	0.0	0.07467689	0.006158149
changepoint4	0.0	0.0	0.096902125	1.239143e-29	0.15944116	0.01105038	0.0	0.044929486	0.040170472
changepoint5	0.0	0.0	0.4697012	0.0	3.4776552e-33	0.008343671	0.0	4.4136477e-13	0.07715815
changepoint6	0.26335767	0.0	0.036739603	0.0	0.0	3.7577655e-07	0.0	0.0	0.021505162
changepoint7	0.27075836	0.005085171	0.0054157516	0.0	0.0	7.279235e-09	0.0	0.0	0.0095228525
changepoint8	0.21028072	0.021035366	0.006342135	0.0	0.0	6.450652e-05	0.0	0.0	0.009055493
changepoint9	0.1264606	0.055414498	1.5012517e-31	0.0	0.0	0.00011707911	0.0	2.1786684e-06	0.005917007
changepoint10	0.0	0.30425352	4.8657566e-17	0.0	0.0	6.901618e-05	0.0	2.1041289e-05	0.0017786173
bp10MB1	0.0	0.0	4.2369275e-36	0.59468836	1.8207204e-06	0.5589881	0.0	0.19410117	0.025242232
bp10MB2	0.0	0.0	2.013243e-06	0.24000302	0.01635924	0.21582383	0.0	0.23572658	0.08407447
bp10MB3	0.0	0.020978699	0.040055837	0.009065868	0.07835776	0.0034507236	1.9180464e-10	0.022369644	0.057801377
bpchrarm1	0.0	0.0	0.0	0.07492922	0.0	0.06851847	0.009763022	0.0	0.00091375463
bpchrarm2	0.0	0.0	1.158934e-39	0.036739983	0.0	0.040011033	0.0	0.036303528	0.0
bpchrarm3	0.0	1.0370203e-28	0.033020232	0.0051776543	0.015702609	4.3901206e-08	0.0	0.03155445	0.0071302596
bpchrarm4	0.0	0.0006677232	0.0	0.0	0.008515959	0.0	9.218612e-07	0.0	0.012686944
bpchrarm5	0.0	0.00455689	0.0	0.0	0.0012069033	0.0	0.0	0.0	0.00070231163
osCN1	0.0	0.20022234	0.0	0.005128335	9.463627e-38	1.5774985e-24	0.100626685	0.092745766	0.22495407
osCN2	0.0	0.048707027	0.028615195	0.00066098425	0.05126398	0.0	0.0	0.023534337	0.060098533
osCN3	0.0	0.0	0.0030279953	0.0	0.010183304	0.0	1.26415025e-05	0.0	0.0008334233
