	W1	W2	W3	W4	W5	W6	W7	W8	W9
segsize1	0.0	0.016470848	0.0052519655	0.02086094	0.0	0.0007793546	0.0	0.0025281794	0.06766954
segsize2	0.0	0.02043389	0.010568879	0.025559558	0.0	0.0003213225	1.5897486e-07	0.0015731148	0.06288035
segsize3	0.0	0.040916033	0.029382598	0.058651507	0.0	0.0	0.026945733	0.00058847707	0.07587759
segsize4	0.0	0.06421563	0.040756144	0.111874565	0.024822185	0.0	0.05550626	0.0	0.08957858
segsize5	0.0	0.013916212	9.631308e-18	0.072513916	0.053091776	0.0007055412	0.0143266935	0.0	0.028969755
segsize6	0.0	0.0	0.0	0.04355291	0.061504785	0.0015088816	2.2569336e-23	0.0	0.010010882
segsize7	0.0	0.0	0.0	0.01276563	0.06099838	0.0025329338	0.0	0.008164493	0.0
segsize8	0.0	0.0	0.0	1.662547e-14	0.035341542	0.00097051985	0.0	0.013218587	0.0
segsize9	0.0	0.0	0.0	0.0	0.01923662	0.00063184387	0.0	0.010156634	0.0
segsize10	0.0	0.0	0.0	0.0	0.026117511	0.00018737467	0.0	0.019820075	5.0499676e-16
segsize11	0.0	2.3109566e-26	0.0	0.0	0.023099957	0.0	0.0	0.026050868	0.0
segsize12	0.0	5.210968e-28	0.0004358221	0.0	0.018798955	0.0	0.0	0.029453395	0.0
segsize13	0.0	0.009937621	9.897508e-08	0.0	0.009360609	9.191904e-05	2.3307378e-07	0.022112146	0.0
segsize14	0.0	0.014149211	7.318585e-05	0.0	0.0034768854	0.00025317256	0.009650184	0.014787158	0.0
segsize15	0.0	0.02378852	0.0059912987	0.0	0.0	0.0010204508	0.03283242	0.023474682	0.0
segsize16	0.08477293	0.011400009	1.8335729e-17	0.0	0.0	0.0015959569	0.016308898	0.009871535	0.0
segsize17	0.10228937	0.0052490104	0.0	0.0	0.0	0.0021699774	0.013284075	0.014931827	0.0021431206
segsize18	0.06373028	0.0	0.0	0.0	0.0	0.0026542079	0.024857968	0.0062024393	0.0
segsize19	0.076653734	0.0	0.0	0.0	0.0	0.0021099576	0.01080471	0.0057735774	0.0
segsize20	0.13204916	0.0	0.0	0.0	0.0	0.0015545769	0.002485679	0.0014731656	0.0005594573
segsize21	0.18537647	0.0	0.0	0.0	0.0	0.0036068258	0.008073614	0.0020749425	0.0011331842
segsize22	0.3547713	0.0	0.0	0.0	0.0	0.004048572	0.0	0.0	0.0
changepoint1	0.0	0.006756068	0.28956684	0.006413939	0.00014900528	0.0076187463	0.0	0.006775008	0.0
changepoint2	0.0	0.0	0.51409566	0.0	0.014418594	0.0019698953	0.0	0.02275709	0.0
changepoint3	0.0	0.0	0.0	0.3129559	0.019779138	0.007408913	0.0	0.069613144	0.0
changepoint4	1.1266811e-16	0.1233668	0.0	0.14930099	0.045153484	0.0064420663	0.0	0.045494467	0.0
changepoint5	0.0	0.5604732	0.0	7.980166e-07	0.066150315	0.0	0.024401417	0.013024186	0.0
changepoint6	0.0	0.026969649	0.0	0.0	0.018062986	0.0	0.23404957	6.563544e-14	0.0
changepoint7	0.0	0.0	0.0	0.0	0.0072835595	0.0	0.22974542	0.0	0.0
changepoint8	5.1432573e-07	0.003649572	0.0	0.0	0.0070194597	2.0213543e-05	0.17927213	0.0	0.016358249
changepoint9	0.0	0.0	0.0	0.0	0.0043718587	4.3169155e-05	0.109547645	0.0	0.05030056
changepoint10	0.00035627172	0.0	0.0	0.0	0.0014778274	1.2813453e-16	0.007852992	7.5199773e-06	0.29785863
bp10MB1	0.0	0.0	0.0	7.909065e-08	0.03394675	0.59744555	0.0	0.19561642	0.0
bp10MB2	0.0	0.0	0.0	0.016733762	0.091174334	0.23144877	0.0	0.23370503	0.0
bp10MB3	0.0	0.026759606	0.0	0.08007878	0.057435717	0.0049585756	1.0196195e-09	0.021281613	0.026095102
bpchrarm1	0.0	0.0	0.0	0.0	0.0018209615	0.07444379	0.0	0.0	0.0
bpchrarm2	0.0	0.0	0.0	0.0	0.0	0.04017634	5.4143442e-05	0.038803607	0.0
bpchrarm3	0.0	0.015707446	0.0	0.0202986	0.009030585	0.0012806945	4.164015e-10	0.032371704	6.993728e-05
bpchrarm4	0.0	0.0	4.9097093e-36	0.007065078	0.011931413	0.0	3.5428606e-08	0.0	0.0011706125
bpchrarm5	0.0	0.0	0.0	0.0023616184	0.0	0.0	0.0	0.0	0.0057238494
osCN1	0.0	0.0	0.103877515	2.2749656e-30	0.21326795	0.0	3.000097e-31	0.08582765	0.21133034
osCN2	0.0	0.012975879	0.0	0.048767414	0.060750008	0.0	5.257698e-12	0.02246727	0.052041795
osCN3	0.0	0.0028647191	0.0	0.010244047	0.00092683436	0.0	1.3762144e-07	0.0	0.00022848851
