	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.00018475745	0.0	0.0	0.0	0.009054605	8.581582e-19	0.40657535	0.0	0.0
segsize2	0.0	0.0010926423	0.0	0.0053238585	0.00022357357	0.0075477264	0.0068801357	0.34059787	0.0	5.493114e-07
segsize3	0.0	0.00058785774	0.015316357	0.054722328	0.027413832	0.008621384	0.041124355	0.22406515	0.0	0.022740005
segsize4	0.0	0.0	0.041142922	0.12765415	0.059006464	0.028501036	0.1095165	0.0	0.0	0.0628077
segsize5	0.0003282425	0.00047008367	5.0790864e-38	0.0	0.017245514	0.052888747	0.080123685	0.0	0.0	0.02068076
segsize6	0.0006838998	0.0036660319	0.0	0.0	0.0	0.05691621	0.05222809	0.0	0.0	0.0057243323
segsize7	0.0019774248	0.010717325	0.0	0.0	0.0	0.057316396	0.022202775	0.0	0.0	2.7577608e-28
segsize8	0.0007447081	0.014872756	0.0	0.0	0.0	0.032836035	0.0049699084	0.0	0.0	0.0
segsize9	0.0005629103	0.011466378	3.6413542e-08	0.0	0.0	0.018285377	3.48098e-40	0.0	0.0	1.474e-42
segsize10	0.00016854449	0.021369562	1.3061724e-09	0.0	0.0	0.02471378	0.0	0.0	0.0	5.172678e-08
segsize11	0.0	0.027359212	0.0	0.0	0.0	0.021018215	0.0	0.0	0.0	0.0024058702
segsize12	0.0	0.030041328	3.2874176e-27	0.0	0.0	0.016622253	1.938e-42	0.0	0.0	0.005976959
segsize13	3.0762623e-27	0.022139717	1.2728357e-11	0.0	0.0016598785	0.007911326	0.0	0.0	0.0	0.013457878
segsize14	0.0003004227	0.014425541	1.4478566e-08	0.0	0.010463159	0.0027160172	7.1188107e-12	0.0	0.0	0.015297388
segsize15	0.0013337936	0.022478431	0.0033782008	0.0	0.030013118	0.0	0.0	0.0	0.0	0.022512706
segsize16	0.0017417824	0.009234043	0.0	0.0	0.01545157	0.0	0.0	0.0	0.0865256	0.010028437
segsize17	0.0023835488	0.013941793	0.0	0.003260234	0.014534602	0.0	0.0	0.0	0.10376837	0.0044835997
segsize18	0.0027093368	0.0057181786	0.0	0.0	0.025213884	0.0	0.0	0.0	0.066264376	0.0
segsize19	0.0021995595	0.0051344065	0.0	0.0	0.010495943	0.0	0.0	0.0	0.07665111	0.0018241096
segsize20	0.001614952	0.0012176797	0.0	9.938e-42	0.0034184298	0.0	0.0	0.0	0.13171133	0.0
segsize21	0.0036865051	0.0016949314	0.0	5.5403e-41	0.010020271	0.0	0.0	0.0	0.18476391	0.0
segsize22	0.004008078	0.0	3.811594e-07	0.0	0.0	0.0	0.0	0.0	0.3503149	0.0
changepoint1	0.007918909	0.0077261217	0.33905807	0.0	0.0	0.0016111569	0.0017185331	0.0	0.0	9.927536e-22
changepoint2	0.0018631369	0.025222149	0.60110074	0.0	0.0	0.012515368	4.793085e-39	0.0	0.0	0.0
changepoint3	0.0074837375	0.075005114	0.0	0.0	0.0	2.0502577e-08	0.3111646	0.0	0.0	0.0
changepoint4	0.005606082	0.047854006	0.0	0.0	0.0	0.026419463	0.1609103	0.0	7.232482e-31	0.14297722
changepoint5	1.063972e-26	0.011668109	0.0	0.0	1.0053392e-33	0.053627267	0.009176316	0.0	0.0	0.5671213
changepoint6	0.0	0.0	0.0	0.0	0.21983376	0.01818995	0.0	0.0	0.0	0.03888641
changepoint7	0.0	0.0	0.0	0.0	0.2273756	0.008272297	0.0	0.0	0.0	0.0009359321
changepoint8	4.681003e-05	1.062532e-34	0.0	0.0	0.186912	0.009084742	0.0	0.0	0.0	0.0038401238
changepoint9	5.9824382e-05	0.0	0.0	0.09195786	0.12004021	0.0055426336	4.471612e-39	0.0	9.239e-41	1.956e-41
changepoint10	1.6095478e-06	0.0	0.0	0.70840025	0.020675067	0.0023664404	0.0	0.0	0.0	0.0
bp10MB1	0.59812915	0.18251395	0.0	0.0	0.0	0.031005315	2.692894e-06	0.0	0.0	1.92456e-40
bp10MB2	0.2316695	0.22995591	0.0	0.0	0.0	0.07705561	0.03477401	0.0	0.0	8.517791e-18
bp10MB3	0.0048683872	0.022938	0.0	0.0	2.1176753e-30	0.05796252	0.08051301	0.0	0.0	0.027569227
bpchrarm1	0.07372108	1.5692747e-19	3.3040876e-06	0.0	0.0	0.0020218787	0.0	0.0	0.0	0.0
bpchrarm2	0.040889163	0.035747133	0.0	0.0	3.1026532e-06	0.0	0.0	0.0	0.0	0.0
bpchrarm3	0.0014384747	0.032216687	0.0	0.0	4.1223227e-35	0.007001985	0.019429978	0.0	0.0	0.01684183
bpchrarm4	0.0	0.0	0.0	0.0	0.0	0.011985351	0.008444852	0.0	4.4305978e-07	0.0
bpchrarm5	0.0	0.0	0.0	0.008681332	0.0	0.00073760335	0.0013410356	0.0	0.0	0.0
osCN1	0.00186038	0.08794633	8.50282e-14	8.9652735e-21	0.0	0.26024204	3e-45	0.0	0.0	0.0
osCN2	0.0	0.023393763	0.0	0.0	1.8065002e-24	0.068769544	0.045417033	0.028761666	0.0	0.01084449
osCN3	0.0	0.0	0.0	0.0	0.0	0.00063978165	0.010062195	0.0	0.0	0.0030430981
