	W1	W2	W3	W4	W5	W6	W7	W8
segsize1	0.0	0.05142233	0.001170554	0.019975718	0.0	0.0035457634	0.0033739775	0.0022133654
segsize2	0.0	0.047395773	0.0007381567	0.023824204	0.0	0.005559121	0.0023221148	0.007370421
segsize3	0.0	0.05784383	0.00013508071	0.053407375	0.0	0.020393817	0.0016135982	0.02643382
segsize4	0.0	0.077616796	0.0	0.11785477	0.0	0.06209666	0.0	0.0718756
segsize5	0.03355333	0.040467896	0.0	0.07914379	0.0	0.0483752	0.0	0.0072150007
segsize6	0.05043408	0.026710033	0.00022600096	0.047622353	0.0	0.039361596	0.0	0.0
segsize7	0.06278978	0.0075860806	0.0021661415	0.019689053	0.0	0.039008383	0.0	0.0
segsize8	0.04301493	0.0	0.00091454777	4.1350973e-14	0.0	0.016129827	0.009541625	0.0
segsize9	0.025225936	0.0	0.0006743338	0.0	0.0	0.006891925	0.007966553	0.0
segsize10	0.034327593	0.003671205	0.00021229706	0.0	0.0	0.008650171	0.01686133	0.0
segsize11	0.030882122	4.642841e-07	0.0	0.0	0.0	0.009226423	0.023223856	0.0
segsize12	0.02422752	0.0	0.0	0.0	0.0	0.008571713	0.027099388	0.0047887517
segsize13	0.010832849	0.0	0.00029597885	0.0	0.0	0.00756647	0.021091495	0.0054952907
segsize14	0.0033468534	0.0	0.00050111074	0.0	1.8245194e-08	0.007106723	0.0149169555	0.0041088634
segsize15	0.0	0.0	0.0012703348	0.0	0.0045707547	0.010095791	0.024814181	0.01173364
segsize16	0.0	0.00044039325	0.0016589836	0.0	0.06129316	0.004309852	0.010935323	0.0022568419
segsize17	0.0	0.0032408165	0.0021948195	0.0	0.07080608	0.0014782901	0.01661788	0.0007551541
segsize18	0.0	0.0027324248	0.0025798236	0.0	0.045510475	0.0016474267	0.007821531	0.0
segsize19	0.0	0.0016082132	0.0019945877	0.0	0.05272597	0.0	0.0071567367	0.0
segsize20	0.0	0.0011162303	0.0016121223	0.0	0.08919555	0.0	0.0019155352	0.0
segsize21	0.0	0.0029582628	0.0036280435	0.0	0.12614678	0.0	0.0030433796	0.0
segsize22	0.0	0.0	0.004711944	0.0	0.23622558	0.0	0.0	0.0
changepoint1	0.0015360565	0.0	0.0076596295	0.007501568	0.0	0.0	0.007360846	0.29808667
changepoint2	0.030947542	0.0	0.0026752183	0.0	0.0	0.0	0.019091474	0.5018949
changepoint3	0.07659026	0.0	0.009699739	0.25275865	0.0	0.0	0.061112497	0.0
changepoint4	0.04967648	0.0	0.0040421635	0.14777979	0.10745976	0.05177193	0.045777917	0.0
changepoint5	0.0018163613	0.0	0.0	0.035579447	0.20577551	0.2245235	0.014176362	0.0
changepoint6	0.0023797594	0.005236743	0.0	0.0	0.0	0.08209129	0.00012787397	0.0
changepoint7	0.0	0.014913121	2.9614318e-07	0.0	0.0	0.055059362	0.0	0.0
changepoint8	0.0	0.036245897	8.1219274e-05	0.0	7.1072735e-16	0.041896462	0.0001972768	0.0
changepoint9	0.0004899547	0.06594058	2.5340269e-05	0.0	0.0	0.020800663	6.8317524e-05	0.0
changepoint10	0.00034281742	0.23373361	0.0	0.0	0.0002902979	0.0022152332	6.625564e-05	0.0
bp10MB1	0.026321622	0.0	0.59587306	0.0037929856	0.0	0.0019086091	0.22784308	0.0
bp10MB2	0.12419707	0.0	0.23187973	0.013535606	0.0	0.01208733	0.24260621	0.0
bp10MB3	0.051326904	0.029049661	0.0046301894	0.084635265	0.0	0.05043429	0.016779318	3.7202954e-17
bpchrarm1	2.29606e-39	0.0	0.07614423	0.0	0.0	0.0	0.0	0.0
bpchrarm2	0.0	0.0	0.03895573	0.0	0.0	0.0	0.043246318	0.0
bpchrarm3	0.013222197	0.0	0.0016486377	0.017727347	0.0	0.0075897686	0.032063268	0.0
bpchrarm4	0.012806369	0.0036885885	0.0	0.0064761187	0.0	0.004113816	0.0	0.0
bpchrarm5	0.0	0.004970091	0.0	0.0021585722	0.0	0.0	0.0	0.0
osCN1	0.23512329	0.23122506	0.0	0.00010786134	0.0	0.09627048	0.0724908	0.05576842
osCN2	0.054170363	0.050185908	0.0	0.05577558	0.0	0.04737604	0.016676757	0.0
osCN3	0.0004179499	0.0	0.0	0.010653833	0.0	0.0018460943	0.0	3.2254359e-06
