	W1	W2	W3	W4	W5	W6	W7	W8	W9
segsize1	0.0019644664	0.02421241	0.0065746135	0.0058701397	0.0	0.0	0.0	0.012810655	0.06366524
segsize2	0.001051942	0.026104208	0.011404534	0.00450262	0.0	0.0	3.718e-42	0.017717984	0.058645364
segsize3	0.00068159634	0.04945248	0.027423296	0.0022177603	0.0	0.0	0.015464203	0.050052285	0.07207063
segsize4	0.0	0.092448935	0.07104065	0.0	0.0	0.0	0.08008652	0.12753637	0.0977906
segsize5	0.0	0.027043771	0.013262475	0.0015394607	3.0368524e-18	0.046101294	0.026544917	0.08187373	0.032252237
segsize6	0.0025911853	0.0	0.0	0.0021002274	0.0010233875	0.062004443	7.7367755e-35	0.046941444	0.013012488
segsize7	0.008199656	0.0	0.0	0.0045711	0.0017071074	0.066808335	0.0	0.014951579	0.0
segsize8	0.013015705	0.0	0.0	0.0019668872	0.00067667227	0.0391937	0.0	0.0008294365	0.0
segsize9	0.010112832	0.0	0.0	0.00096335064	0.000576285	0.021334587	0.0	0.0	0.0
segsize10	0.019654008	0.0	3.5334383e-20	0.00062043173	0.00021064922	0.028866477	0.0	0.0	5.9928424e-32
segsize11	0.026245348	4.9354695e-18	1.6776165e-37	0.0	1.623138e-11	0.025141865	0.0	0.0	0.0
segsize12	0.02893336	0.0061000464	0.006055559	0.0	0.0	0.019198613	0.0	0.0	0.0
segsize13	0.02174207	0.009267664	6.016556e-07	0.0	0.00043953865	0.00994019	4.2576166e-15	0.0	0.0
segsize14	0.014496663	0.012956397	1.2110541e-33	0.0	0.0006694141	0.0035840326	0.008507684	0.0	0.0
segsize15	0.022992466	0.016699499	0.0014865415	0.0	0.0024834946	0.00010430623	0.030880878	0.0	0.0
segsize16	0.009070818	0.008033081	2.3065957e-34	0.0	0.0061980784	0.0	0.014247071	0.0	0.0
segsize17	0.013907009	1.0848997e-11	0.0	0.0	0.0078791585	3.7995553e-09	0.012343723	7.149995e-27	0.0022833112
segsize18	0.005586689	0.0	0.0	0.00029301882	0.0063920873	0.0	0.022670869	0.0	1.4e-44
segsize19	0.0049045593	0.001284079	0.0	0.0	0.00625822	0.0	0.008967625	0.0	4.847254e-17
segsize20	0.0007476966	0.0	0.0	0.0	0.0074518104	0.0	0.0027316494	0.0	0.00056522316
segsize21	0.0012767575	0.0	0.0	0.0	0.01237963	0.0	0.005056284	0.0	0.0020258157
segsize22	0.0	0.0	0.0	0.0	0.018384786	1.6573478e-07	0.0	0.0	0.0
changepoint1	0.0077103004	3.8133596e-05	0.26536968	0.0031327112	0.009724555	1.0000184e-16	0.0	0.0065581277	0.0
changepoint2	0.023239594	0.0	0.48403358	5.769577e-11	0.0034530703	0.014948293	0.0	0.0	0.0
changepoint3	0.07426424	0.0	0.0	0.010834524	0.0077364435	1.005018e-09	0.0	0.305568	0.0
changepoint4	0.046730306	0.098477274	0.0	3.3685516e-05	0.011213327	0.03523706	0.0	0.1593744	0.0
changepoint5	0.007717582	0.49332362	0.0	0.0	0.0072571235	0.07757333	6.0879565e-28	4.712478e-12	0.0
changepoint6	2.0597952e-11	0.030028114	0.0	0.0	3.4970185e-08	0.020184621	0.2354273	0.0	0.0
changepoint7	0.0	0.0	0.0	0.0	1.6777097e-09	0.008446522	0.23547696	0.0	0.0
changepoint8	0.0	0.0	0.0	0.0	0.00016876143	0.008408918	0.18436186	0.0	0.016786234
changepoint9	0.0	0.0	0.0	0.0	8.364862e-05	0.0049729757	0.11026642	0.0	0.052400082
changepoint10	3.0066282e-18	0.0	0.0	0.0	4.717827e-05	0.0016686791	0.0069660135	0.0	0.30012515
bp10MB1	0.2002195	0.0	0.0	0.5894876	0.56033516	0.033114254	0.0	7.197684e-06	0.0
bp10MB2	0.23468712	0.0	0.0	0.23894463	0.21464029	0.09668711	0.0	0.010831987	0.0
bp10MB3	0.021903757	0.04292802	2.8332702e-06	0.009652625	0.0035115534	0.056113593	4.5414783e-14	0.0782473	0.024135556
bpchrarm1	8.322841e-11	0.0	0.0	0.07402759	0.06983821	0.0024439723	0.0	0.0	0.0
bpchrarm2	0.037887074	0.0	0.0	0.036822982	0.039260365	0.0	1e-45	0.0	0.0
bpchrarm3	0.03188445	0.02912971	0.0	0.005503589	0.0	0.008624959	1.2985624e-16	0.013440099	0.0
bpchrarm4	0.0	0.0	0.0	0.0	0.0	0.012216004	4.7730182e-08	0.008981541	0.0013485675
bpchrarm5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0022942761	0.0053467443
osCN1	0.0840411	0.0	0.113345645	0.005832367	0.0	0.23632506	2.030384e-32	3.1747135e-21	0.20627198
osCN2	0.02254024	0.028456759	0.0	0.0010826581	0.0	0.060372684	1.2443592e-17	0.051818117	0.0511014
osCN3	0.0	0.0040157572	0.0	2.499063e-31	1.46886645e-08	0.00038391206	3.181111e-08	0.010165507	0.00017324986
