	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	2.0931608e-35	4.394065e-35	0.0	0.0072165257	0.0	0.0	0.0	0.0	0.0	0.16522625
segsize2	7.267317e-08	0.0009449277	0.0	0.0061363326	0.0038030702	0.0	0.0	0.0	0.0	0.15237248
segsize3	0.02634067	0.0010272326	1.2186568e-17	0.010529145	0.031031951	0.0	0.010336612	0.0	0.0	0.16021055
segsize4	0.06644667	0.0	0.014847765	0.03195937	0.096980155	0.0	0.03889847	0.0	0.0	0.13049862
segsize5	0.0363762	0.0	4.720059e-14	0.045550093	0.08991151	2.9600022e-30	0.01864534	0.0	0.0	0.0
segsize6	1.942703e-12	2.4916579e-05	0.0	0.054123096	0.061454415	0.0009800044	0.004791589	0.0	0.0	0.0
segsize7	0.0	0.0072388933	0.0	0.055641208	0.028266707	0.00223587	0.0	0.0	0.0	0.0
segsize8	0.0	0.012772675	0.0	0.033194587	0.006992522	0.0008678393	0.0	0.0	0.0	0.0
segsize9	0.0	0.0101181185	0.0	0.018780284	0.0014202927	0.0006300329	0.0	0.0	0.0	0.0
segsize10	0.0	0.019857122	0.0	0.026270097	4.7699473e-22	0.00021746487	0.0	0.0	0.0	0.0
segsize11	0.0	0.02624047	0.0	0.023281168	0.0	0.0	5.7035887e-15	0.0	0.0	0.0
segsize12	0.0	0.029618958	0.0	0.01916451	0.0	0.0	4.536437e-22	0.0	0.0	0.0
segsize13	6.285255e-20	0.022092173	0.0	0.009803506	0.0	0.0001090827	0.010829666	0.0	0.0	0.0
segsize14	0.010381822	0.014754755	9.32966e-16	0.0036598793	0.0	0.00029820768	0.014867048	0.0	0.0	0.0
segsize15	0.034002166	0.023637395	0.007792065	0.0	0.0	0.0009754016	0.025522612	0.0	0.0	0.0
segsize16	0.017479347	0.009886743	1.4965867e-26	0.0	0.0	0.0016245691	0.01185186	0.0	0.0832354	0.0
segsize17	0.017402144	0.014835961	0.0	0.0	0.0	0.0022318459	0.0048904107	0.0026438604	0.10108956	0.0
segsize18	0.0240072	0.006200061	0.0	0.0	0.0	0.0026697055	0.0	0.0	0.06278658	0.0
segsize19	0.0116090225	0.005709619	0.0	0.0	0.0	0.0021547587	0.0	0.0	0.07454104	0.0
segsize20	0.003605637	0.0013878916	0.0	0.0	0.0	0.0016131194	0.0	0.0	0.12997673	0.0
segsize21	0.009776352	0.0019820237	0.0	0.0	0.0	0.0036987572	0.0	0.0	0.18141632	0.0
segsize22	0.0	0.0	3.9713987e-07	0.0	0.0	0.0041300273	0.0	0.0	0.34988543	0.0
changepoint1	0.0	0.007892589	0.35069737	0.000902082	0.0021858225	0.0072749592	0.0025334852	0.0	0.0	0.011867383
changepoint2	0.0	0.023802405	0.6266624	0.014826186	0.0	0.0013403735	0.0	0.0	0.0	0.0
changepoint3	0.0	0.08087092	0.0	8.634646e-30	0.31477436	0.0066052317	0.0	0.0	0.0	0.0
changepoint4	0.0	0.05075297	0.0	0.029276239	0.16282336	0.0052987686	0.15565544	0.0	0.0	0.0
changepoint5	0.040515814	0.01265318	0.0	0.058173183	0.011294163	0.0	0.6288161	0.0	0.0	0.0
changepoint6	0.20193921	1.024425e-17	0.0	0.019045647	0.0	0.0	0.033768047	0.0	0.0	0.0
changepoint7	0.19614018	0.0	0.0	0.0085503	0.0	0.0	0.0	0.0	0.010182623	0.0
changepoint8	0.16538996	0.0	0.0	0.008584547	0.0	1.0336201e-05	0.0	0.017812483	0.0063721975	0.0
changepoint9	0.107999444	0.0	0.0	0.004978727	8.4985e-07	4.5667013e-05	0.0	0.11462916	0.0005141432	0.0
changepoint10	0.01762822	0.0	0.0	0.0016557096	0.0	2.5666232e-06	0.0	0.8513928	0.0	0.0
bp10MB1	0.0	0.19386187	0.0	0.03642702	4.2902448e-07	0.60082424	0.0	0.0	0.0	0.0
bp10MB2	0.0	0.23413837	0.0	0.089671955	0.026640724	0.23245522	0.0	0.0	0.0	0.0
bp10MB3	7.246401e-05	0.021642232	0.0	0.05427612	0.08111474	0.0045959805	0.02178065	0.0	0.0	0.051973976
bpchrarm1	0.0	0.0	0.0	0.0018403368	0.0	0.07463633	0.0	0.0	0.0	0.0
bpchrarm2	0.012196076	0.038322855	0.0	0.0	0.0	0.04023582	0.0	0.0	0.0	0.0
bpchrarm3	8.65497e-05	0.033463974	0.0	0.008844384	0.016039426	0.0012696842	0.013416326	0.0	0.0	0.012211305
bpchrarm4	0.0	0.0	0.0	0.010756142	0.009498136	0.0	0.0	0.0	0.0	0.00031002783
bpchrarm5	9.789403e-08	0.0	0.0	0.0	0.0026025812	0.0	0.0	0.013521701	0.0	0.0
osCN1	0.0	0.07382326	1.86925e-32	0.2419955	0.0	0.0009680841	0.0	0.0	0.0	0.22987545
osCN2	1.4247717e-12	0.020445427	0.0	0.06442401	0.042779878	0.0	9.525073e-17	0.0	0.0	0.08494721
osCN3	0.0006046222	0.0	0.0	0.00046205855	0.01038491	0.0	0.0033962568	0.0	0.0	0.00050679134
