	W1	W2	W3	W4	W5	W6	W7	W8	W9
segsize1	0.0022806423	0.005814293	0.31376597	0.0	0.0008594688	0.013004786	0.0	0.0	1.5541907e-33
segsize2	0.0052006124	0.0049574813	0.27995607	0.0	0.0011084068	0.012395226	0.0	0.0	0.0007584322
segsize3	0.025001887	0.008450471	0.26531935	0.001115806	0.0022032475	0.029311674	0.0	0.0	0.0017953628
segsize4	0.078981996	0.026004307	0.10466566	0.001949078	0.016093172	0.075055934	0.0	0.00123778	6.5377136e-13
segsize5	0.07545036	0.025660757	0.0	0.0	0.017546589	0.065561526	0.0	0.00095148967	0.0
segsize6	0.06358747	0.026938323	0.0	0.0	0.024719233	0.053695228	0.0	0.00051962136	0.0
segsize7	0.043753006	0.038211297	0.0	0.0	0.038631838	0.034787618	0.0	0.0021677774	0.002056644
segsize8	0.018638676	0.026868543	0.0	0.0	0.030597148	0.01228566	0.0	0.0005549401	0.0080218315
segsize9	0.008222688	0.017557263	0.0	7.788614e-17	0.021940073	0.0032667322	0.0	0.000530217	0.006256496
segsize10	0.008921804	0.026268365	0.0	0.0	0.033222206	0.0046924115	0.0	0.0	0.013131388
segsize11	0.0060701626	0.028525865	0.0	0.0	0.029246006	0.0	0.0	0.0	0.019363387
segsize12	0.0022167726	0.026276601	0.0	0.0	0.027013592	0.0	0.0	0.0	0.023380416
segsize13	0.0	0.016595714	0.0	0.0007980606	0.013855562	0.0	0.0	2.707132e-05	0.018768696
segsize14	0.0	0.009298361	0.0	0.0018811778	0.004363923	2.1041535e-05	0.0	0.0	0.013686453
segsize15	0.0	0.006726169	0.0	0.0056022964	0.0025339653	0.0025932584	0.0	0.0	0.023420943
segsize16	0.0	0.0019492384	0.0	0.00955382	2.0743297e-05	0.0014683226	0.0	0.00059708755	0.00961275
segsize17	0.0	0.0003876983	0.0	0.011566735	0.0	0.0020104295	0.0	0.00094614044	0.014505204
segsize18	0.0	0.0	0.0	0.008802282	0.0	0.004798377	0.0	0.0013245351	0.0062013394
segsize19	0.0	0.0	0.0	0.008774933	0.0	0.0	0.0	0.0011352506	0.0053947154
segsize20	0.0	0.0	0.0	0.009817038	0.0	0.0001595494	0.0	0.0011306825	0.0007605619
segsize21	0.0	0.0	0.0	0.0154758915	0.0	0.0019242101	0.0	0.0024216468	0.0013649239
segsize22	0.0	0.0	0.0	0.021245133	0.0	0.0	0.0	0.005002049	0.0
changepoint1	0.0	0.0	1e-45	0.013809728	0.10640566	0.0	0.0	0.008063638	0.0030304615
changepoint2	0.0035829034	0.0	0.0	0.011578804	0.22545953	0.0	0.0	0.0030113482	0.012843343
changepoint3	0.1915738	0.0	0.0	6.741058e-30	0.0	0.0	0.0	0.01712604	0.09288178
changepoint4	0.11979543	0.054570083	0.0	0.017910974	0.0	0.0	0.0	0.004583641	0.04948939
changepoint5	0.02222418	0.1821265	0.0	0.035019465	0.0	0.0	0.0	0.0	0.0
changepoint6	0.0	0.044611264	0.0	0.0028372935	0.0	0.054229654	0.0	0.0	0.0
changepoint7	0.0	0.018255807	0.0	0.002566945	0.0	0.06329371	0.0	0.0	0.0
changepoint8	0.0	0.013848352	0.0	0.0014109707	0.0	0.0668326	0.0	0.0	0.0
changepoint9	0.0007260295	0.0050519537	0.0	0.00045582093	0.0	0.066736534	0.0	0.0	0.0
changepoint10	0.00019747658	0.00076853554	0.0	5.4705877e-05	0.0	0.05786961	0.9914459	0.0	0.0
bp10MB1	0.018082084	0.027651312	0.0	0.5169066	0.0	3.8835762e-05	0.0	0.59214264	0.266465
bp10MB2	0.046183553	0.103259236	0.0	0.19732298	0.07939369	0.0	0.0	0.23094554	0.2475627
bp10MB3	0.07640924	0.04533769	1e-45	0.002708338	0.0325557	0.044173945	0.0	0.0066900607	0.018268539
bpchrarm1	0.0	0.0	0.0	0.05982817	0.0	0.0	0.0	0.08158175	0.0056968485
bpchrarm2	0.0	0.0	0.0	0.0410042	0.0	0.0	0.0	0.034064405	0.044293914
bpchrarm3	0.009000862	0.021083452	1e-45	0.0	0.0077695884	0.0	0.0	0.0032446743	0.03137575
bpchrarm4	0.012721241	0.005296895	0.0	0.0	0.0039811484	0.0063099302	0.0	0.0	0.0
bpchrarm5	0.0014793085	0.0	0.0	0.0	0.0	0.0019983167	0.008554086	0.0	0.0
osCN1	0.092127115	0.13040891	0.0	0.0	0.24753955	0.27010205	0.0	0.0	0.044747822
osCN2	0.06032626	0.049968373	0.0336522	0.0	0.03294003	0.05138275	0.0	0.0	0.014864812
osCN3	0.0072443606	0.0012708785	0.0026406513	2.6050884e-06	0.0	0.0	0.0	1.82858e-13	0.0
