	W1	W2	W3	W4	W5	W6	W7	W8	W9
segsize1	0.0	0.00092794077	0.0	0.0022771668	0.02998833	0.0053869323	0.012185942	0.07848164	0.005264904
segsize2	0.0	0.0	0.0	0.0021474983	0.02779859	0.0038252405	0.018854234	0.07224222	0.009385619
segsize3	0.0	0.0	0.02089179	0.0014839852	0.033611517	0.0019010003	0.05065091	0.0718342	0.02374194
segsize4	0.0	1.4e-44	0.07972098	0.0	0.039449275	0.0	0.122862674	0.06605158	0.062144928
segsize5	9.285893e-05	0.024182757	0.0779787	0.0	3.0218894e-13	1.929515e-14	0.09216983	0.012895009	0.015500108
segsize6	0.0006610157	0.04311552	0.06344673	0.0	0.0	0.0008943702	0.058681905	0.0	3.17317e-40
segsize7	0.0017799124	0.060191516	0.043503948	0.0050804294	0.0	0.0032217342	0.019797845	0.0	0.0
segsize8	0.00090146065	0.043637935	0.013895244	0.010274419	0.0	0.0013330055	0.0	0.0	0.0
segsize9	0.0008336903	0.026206462	0.004162367	0.007922975	0.0	0.0005514299	0.0	0.0	0.0
segsize10	0.00042876453	0.03706999	0.0012563508	0.016179789	5.203622e-38	1.361353e-11	0.0	0.00646974	0.0
segsize11	0.0	0.034243084	6.4141284e-05	0.021868182	0.0005264152	0.0	0.0	0.0015068612	0.0
segsize12	0.0	0.027325135	1.708301e-21	0.025203742	4.863172e-21	0.0	0.0	0.0	0.0039905324
segsize13	0.0005239161	0.014164514	0.0	0.01970556	0.0003468117	0.0	0.0	0.0	0.00043041995
segsize14	0.0007319439	0.006072299	0.0	0.01397998	0.0061323326	0.0	0.0	0.0002595448	0.0
segsize15	0.0023850836	0.0034344913	0.0	0.023408717	0.0045144465	0.0	0.0	0.0	0.0037898337
segsize16	0.0058853505	1.5651176e-26	0.0028030889	0.009867936	0.0047450475	0.0	0.0	0.0	0.0024643983
segsize17	0.0072879875	0.00029894235	0.0	0.014670095	0.0	0.0	0.0	0.003211319	0.0019125509
segsize18	0.0062900586	0.0	0.0	0.0074880337	0.0	0.00018674826	0.0	0.0029909434	0.0
segsize19	0.0059875734	0.0	0.0	0.0062180264	0.0	2.7504197e-09	0.0	0.00096296397	0.0
segsize20	0.007678651	0.0	0.0	0.0015237554	0.0	0.0	0.0	0.00084010826	0.0
segsize21	0.012746336	0.0	0.0	0.0026321735	0.0	0.0	0.0	0.0024505598	0.0
segsize22	0.020525608	5.611449e-07	0.0	9.8517854e-11	0.0	0.0	0.0	0.0	0.0
changepoint1	0.009535441	0.0016235842	0.0	0.006231205	1e-45	0.002725311	0.009440733	0.0	0.27118945
changepoint2	0.0039865947	0.031059567	0.0	0.0152923055	0.0	0.00026261815	0.0	0.0	0.4666459
changepoint3	0.007435916	0.05871709	0.0	0.05644761	0.0	0.014207931	0.26988596	0.0	0.0
changepoint4	0.010660214	0.05599528	0.014418684	0.04311825	0.1049429	0.00020142972	0.15069711	0.0	0.0
changepoint5	0.0016308072	0.0291149	0.106393136	0.014088268	0.67116034	0.0	0.0030248114	0.0	0.0
changepoint6	0.0005567038	0.005396191	0.09384524	0.00058921764	0.02943939	0.0	0.0	0.0	0.0
changepoint7	0.001249412	6.321673e-28	0.07496323	2.8560073e-05	0.0	0.0	0.0	0.0	0.0
changepoint8	0.0007422821	0.00016873333	0.066350885	0.00017459496	0.0	0.0	0.0	0.0072105723	0.0
changepoint9	0.00028714788	0.0	0.043527	5.456554e-05	0.0	0.0	0.0	0.042595122	0.0
changepoint10	6.0626793e-05	0.00012733822	0.009218818	6.466767e-32	0.0	0.0	0.0	0.33827507	0.0
bp10MB1	0.5622556	0.023678547	3.8036143e-14	0.25819165	0.0	0.59367985	3.2602416e-05	0.0	0.0
bp10MB2	0.21283652	0.12779218	6.05e-43	0.23792563	0.0	0.24301012	0.002688559	0.0	0.0
bp10MB3	0.0033394238	0.04954627	0.057047352	0.01761206	0.024431333	0.008241165	0.08519162	0.016436405	0.0047208234
bpchrarm1	0.07475925	2.555767e-13	0.0	0.0054911454	0.0	0.07438739	0.0	0.0	0.0
bpchrarm2	0.03592383	0.0	0.0	0.04196254	0.0	0.03815525	0.0	0.0	1.46348335e-27
bpchrarm3	0.0	0.016290652	0.0	0.029427042	0.013624273	0.005622487	0.010993187	0.0	0.0
bpchrarm4	0.0	0.012577633	0.0060622483	0.0	0.0	0.0	0.0074838316	0.002380292	0.0
bpchrarm5	0.0	0.0	0.00084140763	0.0	0.0	0.0	0.0019093055	0.005293318	0.0
osCN1	0.0	0.21117797	0.1642736	0.06390458	0.0	0.0022060229	0.014358068	0.21913917	0.1288186
osCN2	0.0	0.0552607	0.054271817	0.017528325	0.0057966863	0.0	0.0585344	0.048473302	0.0
osCN3	0.0	0.00060214434	0.001063293	0.0	0.0034921903	0.0	0.0105565395	0.0	0.0
