	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.14143047	0.00046640055	0.0	0.0	0.005698118	0.0	0.0	0.0005442289
segsize2	0.0	0.0	0.13200557	0.0013394015	0.0	1e-45	0.0044112974	0.0	0.0039639804	0.00058560574
segsize3	6.139701e-06	0.011465935	0.15040691	0.0017777429	0.0	0.015638923	0.008059033	0.0	0.031111687	1.5165664e-37
segsize4	0.0	0.047985703	0.140332	2.483832e-13	0.0	0.050912417	0.026806867	0.016973022	0.09894584	0.00035831713
segsize5	0.0	0.025959143	0.020846676	0.0	1.166724e-34	0.02392596	0.04346821	0.0	0.089377195	0.0016331839
segsize6	0.00048877794	1.4592249e-24	0.0	2.3351526e-32	1.9851412e-20	0.011673889	0.053039346	0.0	0.06459655	0.0022768802
segsize7	0.0017237159	0.0	0.0	0.006241341	0.0	1.063544e-17	0.058063053	0.0	0.029525869	0.0039695287
segsize8	0.00070534786	0.0	0.0	0.011837654	0.0	0.0	0.035401944	0.0	0.007512679	0.0016468326
segsize9	0.00052262854	0.0	0.0	0.009398753	0.0	0.0	0.020238897	0.0024897426	0.0016110588	0.0009740437
segsize10	0.00016639744	0.0	0.0	0.018787216	0.0	0.0	0.028647816	0.00072468875	0.00036852795	0.0007110902
segsize11	0.0	0.0	0.0	0.025551701	0.0	7.194361e-31	0.025723057	6.705e-42	2.6753128e-22	8.458508e-09
segsize12	0.0	0.0	0.0	0.028653353	0.0	0.003689686	0.02119425	1.1314661e-30	0.0	0.0
segsize13	0.00026651114	7.78e-43	0.0	0.021523405	0.0	0.009950343	0.011116063	7.291365e-36	0.0	1.0629749e-16
segsize14	0.0005639411	0.0077717463	0.0	0.01457857	0.0	0.013077168	0.004542138	4e-45	0.0	0.0
segsize15	0.002134108	0.03067995	0.0	0.023533078	0.0	0.018575296	0.0011261863	0.0064987536	0.0	0.0
segsize16	0.0063198972	0.012578064	0.0	0.009335522	0.0	0.008150291	0.00047932603	0.0	0.0	0.0
segsize17	0.008099185	0.012177576	0.0	0.0142448135	0.0024051813	0.0	0.00062776904	0.0	0.0	0.0
segsize18	0.006638787	0.022282943	0.0	0.0058995145	0.0	0.0	0.0	0.0	0.0	9.435414e-05
segsize19	0.006476856	0.008792232	0.0	0.0052164346	0.0	0.0	0.0	0.0	0.0	0.0
segsize20	0.007651279	0.0015826904	0.0	0.0008012335	0.0	0.0	0.0	0.0	0.0	0.0
segsize21	0.012689379	0.00516814	0.0	0.0013409617	1.2181916e-18	0.0	0.0	0.0	0.0	5.94545e-28
segsize22	0.018566942	0.0	0.0	0.0	0.0	0.0	1.579895e-25	5.762496e-12	1.4034737e-07	7.087443e-33
changepoint1	0.008982246	0.0	0.015541603	0.008536118	0.0	0.0	9.106422e-16	0.34254467	0.0043803332	0.0023211043
changepoint2	0.0019607912	0.0	0.0	0.023042314	0.0	0.0	0.017182088	0.6297639	2.5525777e-22	2.2885038e-10
changepoint3	0.004996566	0.0	0.0	0.08243872	0.0	0.0	5.3342596e-26	0.0	0.3036765	0.015310857
changepoint4	0.008457074	0.0	0.0	0.0507808	0.0	0.12337005	0.026225401	0.0	0.16859457	0.0024386446
changepoint5	0.0022967434	1.3367338e-25	0.0	0.008575967	0.0	0.59420526	0.05162004	0.0	0.020575443	0.0
changepoint6	0.0	0.22591475	0.0	0.0	0.0	0.042870604	0.018467918	0.0	0.0	0.0
changepoint7	0.0	0.23865813	0.0	6.11396e-20	0.0	0.003437327	0.008011959	0.0	3.4303676e-32	0.0
changepoint8	4.3248714e-05	0.19574186	0.00053437793	0.0	0.020404985	0.0064094905	0.0077481396	0.0	1.9860188e-10	0.0
changepoint9	8.342091e-05	0.12913984	0.0	0.0	0.11498448	0.0	0.0047127455	0.0	0.00037024615	0.0
changepoint10	8.161038e-06	0.01768492	0.00031597295	0.0	0.849286	0.0	0.0017068089	0.0	3.785145e-21	3.421495e-19
bp10MB1	0.56899333	0.0	0.0	0.20756598	0.0	0.0	0.027895864	0.0	2.460895e-10	0.5972425
bp10MB2	0.21644115	0.0	0.0	0.23703526	0.0	1e-45	0.10097938	0.0	0.013527417	0.24174075
bp10MB3	0.0030292992	8.2765873e-22	0.051485118	0.021047596	0.0	0.037328325	0.052098513	0.0	0.08132357	0.008376367
bpchrarm1	0.07075284	0.0	0.0	3.3258626e-27	0.0	0.0	9.353174e-22	3.2e-44	0.0	0.07728292
bpchrarm2	0.039696023	0.006416301	0.0	0.039731137	0.0	0.0	5.332475e-05	0.0	0.0	0.036395356
bpchrarm3	0.0	0.0	0.0033303828	0.03276555	0.0	0.024821727	0.011051626	0.0	0.010499268	0.0052817888
bpchrarm4	3.9300447e-09	0.0	0.0006080119	0.0	0.0	0.0	0.010469232	0.0	0.010876608	0.0
bpchrarm5	0.0	0.0	0.0	0.0	0.01291931	0.0	0.0	0.0	0.0026357193	0.0
osCN1	0.0012390817	0.0	0.25469851	0.068392746	0.0	0.0	0.25016373	2.3970146e-33	0.0	0.00081568287
osCN2	0.0	0.0	0.08787543	0.019560806	0.0	0.00789306	0.06296986	0.0	0.045745376	0.0
osCN3	0.0	0.0	0.00058896304	0.0	0.0	0.004070273	0.0	0.0010053185	0.0107813645	0.0
