	W1	W2	W3	W4	W5	W6	W7	W8	W9
segsize1	0.20727563	0.0	0.0	1.5920291e-33	0.0	0.0	0.0022537592	0.009633105	1.4086284e-05
segsize2	0.19191068	0.0	0.0	0.00065897166	0.0	0.0	0.0042122295	0.008762387	2.442695e-22
segsize3	0.20685618	0.0	0.00038887386	0.00095773593	0.0	5.674247e-28	0.019387625	0.01975269	6.5270835e-38
segsize4	0.14886414	0.0	0.0013294579	2.1174026e-15	0.0	4.110256e-09	0.066035405	0.052861433	2.2012945e-11
segsize5	0.0	0.0	0.00047964996	0.0	0.0	1.7819823e-32	0.067908704	0.050423186	0.005913693
segsize6	0.0	0.0	0.0001965808	0.0	0.0	1.0877387e-22	0.058124356	0.045729395	0.016009122
segsize7	0.0	0.0	0.0011815059	0.0	0.0	1.10798325e-07	0.04433867	0.045079295	0.038252927
segsize8	0.0	0.0	0.00028323298	0.009522771	0.0	1.0408385e-26	0.021087334	0.023020077	0.030994149
segsize9	0.0	0.0	0.00027129365	0.007966206	0.0	0.0017907355	0.010680007	0.011444704	0.0228191
segsize10	0.0	0.0	0.0	0.016487433	0.0	0.0011778076	0.013231336	0.016042221	0.035475355
segsize11	0.0	0.0	0.0	0.024844581	0.0	4.607656e-09	0.011159331	0.013378922	0.031870715
segsize12	0.0	0.0	0.0	0.028890826	0.0	1.0097444e-16	0.008632474	0.010859438	0.029951787
segsize13	0.0	0.0	0.00038683054	0.022519184	0.0	0.0054698912	0.0024187975	0.0074323686	0.017419636
segsize14	0.0	0.0	0.00065368996	0.015974091	0.0	0.008421245	0.0009972192	0.004534864	0.0069438335
segsize15	0.0	3.7410418e-13	0.002135871	0.026503528	0.0	0.0060655973	0.0	0.0049786544	0.0067120176
segsize16	0.0	0.092995875	0.00180332	0.011521258	0.0	0.00046748325	0.0	0.002249663	0.001152597
segsize17	0.0	0.10545732	0.0024712984	0.01700769	0.0028978456	0.0	0.0	0.0012169742	0.0008870898
segsize18	0.0	0.07189053	0.0026017316	0.00749556	0.0	0.0	0.0	0.0021671387	0.0
segsize19	0.0	0.076851524	0.00212167	0.007069235	2.6131e-41	0.0	0.0	0.00028458596	0.0
segsize20	0.0	0.12433982	0.0015720802	0.0017154648	0.00019188206	0.0	0.0	5.990563e-05	0.0
segsize21	0.0	0.17658617	0.003504281	0.0026490195	0.0004782031	0.0	0.0	0.0006117184	0.0
segsize22	0.0	0.32330188	0.004068183	0.0	0.0	0.0	0.0	0.0	0.0
changepoint1	0.012226627	0.0	0.011496393	0.0008326205	0.0	0.0	0.0	0.0	0.110508345
changepoint2	0.0	0.0	0.0077381455	0.008299439	0.0	0.0	0.0037127107	0.0023415342	0.24065919
changepoint3	0.0	0.0	0.0117150275	0.07726847	0.0	0.0	0.18441316	0.0	0.0
changepoint4	0.0	5.613245e-24	0.008300314	0.058874376	0.0	0.1377357	0.11148159	0.022800185	0.0
changepoint5	0.0	0.0	0.0	0.023801567	0.0	0.8096089	0.011357286	0.09221943	9.6556245e-29
changepoint6	0.0	0.0	0.0	0.0021713115	0.0	0.024732875	0.0	0.061019346	0.0
changepoint7	0.0	0.020054512	1.1348728e-35	2.1786255e-07	0.0	0.0	0.0	0.044557437	0.0
changepoint8	2.2554167e-08	0.008522314	0.00016158794	7.4412856e-05	0.0	0.0	0.0	0.040505454	0.0
changepoint9	2.7e-44	0.0	0.00014970441	0.0	0.08852029	0.0	8.174995e-06	0.027238548	0.0
changepoint10	0.0	0.0	8.762356e-06	0.0	0.89507025	0.0	0.0	0.007311603	0.0
bp10MB1	0.0	0.0	0.58647144	0.21922156	0.0	0.0	0.024229983	0.011792956	1.6536153e-21
bp10MB2	0.0	0.0	0.22824588	0.24913362	0.0	0.0	0.073209345	0.033432323	0.096905105
bp10MB3	0.030021988	0.0	0.0049981773	0.019669877	0.0	1.2880899e-15	0.074383415	0.048828777	0.023709122
bpchrarm1	0.0	0.0	0.07322823	9.2246676e-29	0.0	0.0	4.3623526e-08	0.0	0.0
bpchrarm2	0.0	0.0	0.03993958	0.04266456	0.0	0.0	0.0	5.237171e-37	2.2098546e-32
bpchrarm3	0.009946831	0.0	0.0020972847	0.03605079	0.0	0.0	0.015227518	0.0050680153	0.009220213
bpchrarm4	0.0	0.0	0.0	0.0	0.0	0.0	0.012039239	0.006964523	0.0019078845
bpchrarm5	0.0	0.0	0.0	0.0	0.012841463	0.0	0.0012978114	0.0003039805	0.0
osCN1	0.13224508	0.0	0.0	0.042272467	1.4e-44	0.0	0.09349341	0.20940547	0.24706991
osCN2	0.05932301	0.0	0.0	0.017881239	0.0	0.0	0.058593	0.05505634	0.025604192
osCN3	0.0013299313	0.0	0.0	0.0	0.0	0.004529724	0.006086053	0.0006312393	0.0
