	W1	W2	W3	W4	W5	W6	W7	W8	W9
segsize1	0.004822938	0.06997611	0.0	0.0	0.019997595	0.0028222578	0.0	0.01732692	0.0008347045
segsize2	0.009626993	0.06494456	0.0	0.0	0.024717795	0.0021725392	0.0	0.019933334	0.00042370785
segsize3	0.029854156	0.07278278	0.029283792	0.0	0.05658688	0.0008007002	0.0	0.035492167	0.0
segsize4	0.04523965	0.08315162	0.08525013	0.0	0.11416261	0.0	0.017355397	0.05027716	0.0
segsize5	0.0	0.026807416	0.06279905	0.0	0.07774974	0.0	0.044725794	0.0	0.00047221757
segsize6	0.0	0.012418985	0.031895034	0.0	0.04764906	0.0	0.056992356	0.0	0.0011164658
segsize7	0.0	0.0	0.009907264	0.0	0.013023801	0.0077829193	0.06328927	0.0	0.0025071253
segsize8	0.0	0.0	0.0	0.0	0.0	0.012605807	0.03846965	0.0	0.0010000333
segsize9	0.0	0.0	0.0	0.0	0.0	0.009358102	0.02147023	0.0	0.00068879966
segsize10	0.0	0.00028506535	0.0	0.0	0.0	0.018401645	0.029537747	0.0	0.00025778657
segsize11	0.0	0.0	0.0	0.0	0.0	0.024570694	0.026560875	1e-45	0.0
segsize12	0.0	0.0	0.0	0.0	0.0	0.028152928	0.021740505	0.0	0.0
segsize13	0.0	0.0	5.5391474e-06	0.0	0.0	0.021466855	0.011357322	0.0042277006	0.000323388
segsize14	0.0	0.0	0.006159781	0.0	0.0	0.014713778	0.004167783	0.009817079	0.0003967975
segsize15	0.011455817	0.0	0.019893229	0.0	0.0	0.023718873	0.0	0.015289881	0.0011170142
segsize16	0.0011727252	0.0	0.009560289	0.08502148	0.0	0.010333473	0.0	0.0063329674	0.00156821
segsize17	0.0010018434	0.0029907299	0.006572026	0.09964959	0.0	0.015589773	0.0	0.0	0.0021233442
segsize18	0.0	4.780703e-13	0.009874906	0.06463567	0.0	0.0068654716	0.0	0.0	0.0025245738
segsize19	0.0	0.0018987154	0.0	0.076995514	0.0	0.0067608124	0.0	0.0	0.0019562568
segsize20	0.0	0.0011065071	0.0	0.13062046	0.0	0.00180872	0.0	0.0	0.0014693997
segsize21	0.0	0.0029886852	0.0	0.18630753	0.0	0.0028351352	0.0	0.0	0.0034201627
segsize22	0.0	0.0	0.0	0.35508677	0.0	0.0	0.0	0.0	0.003982231
changepoint1	0.3187716	0.0	0.0	0.0	0.0069884416	0.006940066	0.0011733277	0.0048667653	0.0074867946
changepoint2	0.5590367	0.0	0.0	0.0	0.0	0.020998571	0.019571854	0.0	0.0019643158
changepoint3	0.0	0.0	0.0	0.0	0.304838	0.060856182	0.03767977	0.0	0.008060483
changepoint4	0.0	0.0	4.2e-44	0.0	0.14598128	0.044654597	0.05253313	0.13832565	0.0068002483
changepoint5	0.0	0.0	0.124394245	0.0	9.4152046e-29	0.016419426	0.04178937	0.6468745	0.0
changepoint6	0.0	0.0	0.173796	0.0	0.0	0.00053678855	0.0072091403	0.019616699	0.0
changepoint7	0.0	0.0	0.14920473	0.0	0.0	5.7417376e-05	0.0	0.0	0.0
changepoint8	0.0	0.014321301	0.123749904	0.0015842618	0.0	0.00030847482	0.0	0.0	5.1201314e-05
changepoint9	0.0	0.04700191	0.07615284	0.0	0.0	8.8433226e-05	0.0	0.0	5.4699358e-05
changepoint10	0.0	0.29201964	0.0084900325	9.872106e-05	0.0	4.8628222e-05	0.0007157676	0.0	1.226549e-12
bp10MB1	0.0	0.0	6.372669e-34	0.0	4.743756e-15	0.20687674	0.027402714	0.0	0.5963217
bp10MB2	0.0	0.0	0.0	0.0	0.016641269	0.23225427	0.10231854	0.0	0.23051162
bp10MB3	0.0	0.025886837	0.03352699	0.0	0.08317744	0.019940557	0.056343127	0.020159962	0.0048105726
bpchrarm1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07555386
bpchrarm2	2.563e-42	0.0	0.0	0.0	0.0	0.040293027	1e-45	0.0	0.039342985
bpchrarm3	0.0	5.942652e-06	0.0	0.0	0.019655578	0.031861458	0.012699113	0.0	0.0016045223
bpchrarm4	0.0	0.0017156336	0.0019617176	0.0	0.0067281886	0.0	0.012385733	0.0	0.0
bpchrarm5	0.0	0.0044000363	0.0048865154	0.0	0.0	0.0	0.0	0.0	0.0
osCN1	0.019017598	0.22298674	0.0038191082	0.0	0.0	0.08603338	0.2317442	0.0	0.0012547929
osCN2	0.0	0.05231085	0.027858725	0.0	0.051889267	0.021071529	0.05987041	0.008053721	0.0
osCN3	0.0	0.0	0.0009582181	0.0	0.010213118	0.0	0.00089689036	0.00340552	0.0
