	W1	W2	W3	W4	W5	W6	W7	W8	W9
segsize1	0.0016767762	0.026371256	0.008075418	0.005313309	0.06546125	0.0	0.0	0.015105738	0.0
segsize2	0.0007904463	0.027908836	0.012673601	0.0039042514	0.060748894	0.0	0.0	0.020469818	2.5197294e-19
segsize3	0.000119187825	0.050062537	0.030373735	0.0012526938	0.07457302	0.0	0.0	0.05571476	0.023464656
segsize4	0.0	0.080197364	0.049738206	0.0	0.09218132	0.0	0.020319233	0.11646742	0.05451514
segsize5	0.0	0.018739514	0.0019862053	0.0017675821	0.028382711	0.00059828116	0.0537575	0.07660452	0.00804679
segsize6	0.0025041597	0.0	0.0	0.002233565	0.009838399	0.0009365357	0.061564364	0.044999145	0.0
segsize7	0.008833668	0.0	0.0	0.004735885	0.0	0.0016409204	0.063205555	0.013440415	0.0
segsize8	0.013539446	0.0	0.0	0.0020505062	0.0	0.00068005896	0.03641062	4.402822e-17	0.0
segsize9	0.010143071	0.0	0.0064612115	0.00091540895	0.0	0.00046696284	0.019343488	0.0	0.0
segsize10	0.019809417	0.0	0.0070063807	0.0005311643	9.512182e-39	0.00013353981	0.026059566	0.0	0.0
segsize11	0.026607884	4.0213136e-27	5.2785646e-18	0.0	0.0	6.0348284e-06	0.022890145	0.0	0.0
segsize12	0.029149204	0.00596009	0.006777648	0.0	0.0	0.0	0.017489936	0.0	0.0
segsize13	0.02185886	0.009147469	1.2654178e-17	0.0	0.0	0.00046114737	0.009094964	0.0	3.7387363e-14
segsize14	0.014492923	0.013057218	0.0	0.0	0.0	0.0006950688	0.0033041253	0.0	0.00970754
segsize15	0.022922928	0.016888099	0.0007642071	0.0	0.0	0.0025549412	0.00012837652	6.9e-44	0.033412702
segsize16	0.008983392	0.00803255	0.0	0.0	0.0	0.0062688487	0.0	0.0	0.015406471
segsize17	0.013723563	0.0	0.0	0.0	0.0024483765	0.007976294	0.0	5.423609e-09	0.012380212
segsize18	0.0054687224	0.0	0.0	0.00030050185	0.0	0.0064401394	0.0	0.0	0.024467573
segsize19	0.0048294743	0.0	0.0	0.0	1.9344289e-22	0.0063529937	0.0	0.0	0.0106749
segsize20	0.00070796546	0.0	0.0	0.0	0.00061960676	0.007466106	0.0	0.0	0.0028281056
segsize21	0.0012132723	0.0	0.0	0.0	0.0021751057	0.012400411	0.0	0.0	0.005226621
segsize22	0.0	0.0	5.271234e-07	0.0	0.0	0.018341007	9.524167e-08	0.0	0.0
changepoint1	0.007241949	0.0	0.2653081	0.0028507279	0.0	0.00970494	2.4513963e-13	0.0076571093	0.0
changepoint2	0.022736853	0.0	0.48649246	1.0162198e-33	0.0	0.0031668963	0.013685579	0.0	0.0
changepoint3	0.07296163	0.0	0.0	0.009524285	0.0	0.007416184	0.0089241285	0.31456032	0.0
changepoint4	0.046175394	0.09773786	0.0	5.540594e-10	0.0	0.010972239	0.041152112	0.1588201	0.0
changepoint5	0.008708443	0.5206744	0.0	0.0	0.0	0.006488762	0.07568018	4.3073975e-19	2.0620336e-17
changepoint6	2.0121277e-06	0.029704956	0.0	0.0	0.0	0.0	0.020672612	0.0	0.24493138
changepoint7	5.343e-42	0.0	0.0	0.0	0.0	3.6318343e-10	0.008936415	0.0	0.24626456
changepoint8	0.0	0.0	0.0	0.0	0.017626008	0.00016366987	0.008796378	0.0	0.19136652
changepoint9	0.0	0.0	0.0	0.0	0.054301158	8.214112e-05	0.0052944757	0.0	0.11312094
changepoint10	2.6981098e-17	0.0	0.0	0.0	0.30832374	5.8958878e-05	0.0017322127	0.0	0.0041855667
bp10MB1	0.20061551	0.0	0.0	0.5919215	0.0	0.56071514	0.03121249	2.6646623e-08	0.0
bp10MB2	0.23493607	0.0	0.0	0.24000223	0.0	0.21516518	0.08849305	0.012122629	0.0
bp10MB3	0.021774163	0.038945075	4.1477917e-19	0.009378019	0.021742903	0.003567296	0.057585377	0.078037694	1.7236996e-22
bpchrarm1	0.0006892382	0.0	0.0	0.07428847	0.0	0.0695194	0.0023502933	0.0	0.0
bpchrarm2	0.037335407	0.0	0.0	0.03702726	0.0	0.039559897	0.0	0.0	0.0
bpchrarm3	0.031935256	0.029136712	0.0	0.005427079	0.0	2.291016e-19	0.008477291	0.014036882	6.3797456e-10
bpchrarm4	0.0	0.0	5.6925285e-07	0.0	0.0009911347	0.0	0.012086406	0.008498283	4.0137795e-08
bpchrarm5	0.0	0.0	0.0	0.0	0.005647222	0.0	0.0	0.0024086847	0.0
osCN1	0.084726214	0.0	0.12432791	0.005578818	0.2050079	0.0	0.22032994	6.136936e-38	2.7e-44
osCN2	0.022787394	0.023725567	0.0	0.0009967751	0.049839053	0.0	0.060283177	0.050685514	2.2337167e-26
osCN3	0.0	0.0037104667	1.3789983e-05	0.0	9.217378e-05	0.0	0.00073990546	0.010370939	2.7767783e-07
