	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.14639181	0.0005244166	0.0	0.0	0.0	0.0	0.0	0.0	0.0059218206
segsize2	0.0	0.13715829	0.0012759315	0.0	0.0	0.0	0.0034962902	0.0	0.0	0.004927468
segsize3	3.5124062e-10	0.15554933	0.0014970703	0.0	0.0	0.0	0.028188609	0.0	0.015267339	0.010906389
segsize4	0.036263864	0.13955267	1.7085949e-16	0.0	0.012439382	0.0	0.09280885	0.0	0.046515934	0.03301589
segsize5	0.020143416	0.017638076	0.0	0.0	0.0	0.0	0.087589145	0.0	0.02361119	0.046899054
segsize6	0.0	0.0	0.0011751478	0.0	0.0	0.0	0.062297452	0.000829539	0.007686532	0.054209977
segsize7	0.0	0.0	0.0074073463	0.0	0.0	0.0	0.029797126	0.0023142667	1.0811309e-38	0.057194423
segsize8	0.0	0.0	0.01277642	0.0	0.0	0.0	0.008145163	0.000939793	0.0	0.034137484
segsize9	0.0	0.0	0.010058587	0.0	0.0015258191	0.0	0.0020662288	0.0006611738	0.0	0.019281838
segsize10	0.0	0.0	0.019751651	0.0	3.3348707e-28	0.0	0.0012693607	0.00029326664	0.0	0.026983641
segsize11	0.0	0.0	0.026276544	0.0	0.0	0.0	1.0061724e-06	0.0	0.0020033312	0.024011316
segsize12	0.0	0.0	0.02930597	0.0	0.0	0.0	0.0	0.0	0.005060901	0.01954095
segsize13	4.89e-43	0.0	0.021878729	0.0	0.0	0.0	0.0	0.00011920321	0.012016562	0.009911132
segsize14	0.0101698525	0.0	0.0146202585	0.0	2.047472e-39	0.0	0.0	0.00026879672	0.015761442	0.0036169868
segsize15	0.03427252	0.0	0.023431651	0.0	0.006679987	0.0	0.0	0.0010086852	0.0260613	0.0
segsize16	0.017329065	0.0	0.009765875	0.0	0.0	0.08591358	0.0	0.0015959479	0.01203311	0.0
segsize17	0.017028198	0.0	0.014694265	0.0029229496	0.0	0.103632845	0.0	0.0021876986	0.0067594373	0.0
segsize18	0.02784563	0.0	0.0062293145	0.0	0.0	0.0662394	0.0	0.0026067304	0.0	0.0
segsize19	0.011524425	0.0	0.0055886507	0.0	0.0	0.07689469	0.0	0.002086576	0.0022360247	0.0
segsize20	0.0036195745	0.0	0.0013796034	0.0	0.0	0.1325106	0.0	0.0015885038	0.0	0.0
segsize21	0.0105858585	0.0	0.0019697733	1.5427803e-29	0.0	0.18542895	0.0	0.0036551384	0.0	0.0
segsize22	0.0	0.0	0.0	0.0	3.773843e-07	0.34937993	0.0	0.004155977	0.0	0.0
changepoint1	0.0	0.011161038	0.008432861	0.0	0.34596476	0.0	0.0015097025	0.007650767	4.356854e-05	0.0008946548
changepoint2	0.0	0.0	0.024313116	0.0	0.6264623	0.0	1.3570165e-35	0.0017647155	0.0	0.0150138205
changepoint3	0.0	0.0	0.08081713	0.0	0.0	0.0	0.30922392	0.0069026095	0.0	1.8579689e-30
changepoint4	0.0	0.0	0.04979827	0.0	0.0	0.0	0.16430545	0.005352244	0.14734066	0.02605344
changepoint5	0.0	0.0	0.009770675	0.0	0.0	0.0	0.018687667	0.0	0.5778907	0.05365025
changepoint6	0.22559886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.038264714	0.019916316
changepoint7	0.23979439	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021737816	0.008857198
changepoint8	0.19408904	0.00050889514	0.0	0.02146349	0.0	0.0	3.9518966e-29	1.2338251e-05	0.006102968	0.008564873
changepoint9	0.12627223	0.0	0.0	0.11730661	0.0	0.0	0.00016318583	5.3674215e-05	0.00039214996	0.0053221434
changepoint10	0.016809175	0.00014117692	0.0	0.84496564	0.0	0.0	2.050835e-05	1.0791547e-05	2.1186901e-05	0.0017825217
bp10MB1	0.0	0.0	0.19475092	0.0	0.0	0.0	1.4562973e-08	0.5996128	0.0	0.03397859
bp10MB2	0.0	0.0	0.23414104	0.0	0.0	0.0	0.026587222	0.23267317	1.2795675e-30	0.09121488
bp10MB3	0.0	0.055382464	0.021634515	0.0	0.0	0.0	0.081622176	0.004449229	0.026499957	0.053265758
bpchrarm1	0.0	0.0	6.235386e-39	0.0	0.005917064	0.0	0.0	0.074392095	0.0	0.0011956508
bpchrarm2	0.008653942	0.0	0.038366	0.0	0.0	0.0	0.0	0.04032694	0.0	0.0
bpchrarm3	0.0	0.012572252	0.033252873	0.0	0.0	0.0	0.015931007	0.0012205397	0.016153503	0.008261473
bpchrarm4	0.0	0.0004293187	0.0	0.0	0.0	0.0	0.009863481	0.0	8.787658e-08	0.011061624
bpchrarm5	0.0	0.0	0.0	0.013341279	0.0	0.0	0.002564498	0.0	0.0	0.0
osCN1	0.0	0.23774593	0.07462539	0.0	1e-45	0.0	0.0	0.0012667902	0.0	0.24631798
osCN2	0.0	0.08505383	0.020489953	0.0	0.0	0.0	0.043188184	0.0	0.006163431	0.064090446
osCN3	0.0	0.00071488123	0.0	0.0	0.0010102167	0.0	0.010673683	0.0	0.003940321	0.0
