	W1	W2	W3	W4	W5	W6	W7
segsize1	0.0016179301	1.189316e-06	0.0	0.010409099	0.0	0.0042732735	0.07396277
segsize2	0.0014154734	0.000741686	0.0	0.013039365	0.0	0.0035779204	0.067181595
segsize3	0.00078274467	0.0054192725	0.0028210003	0.030700281	0.034252603	0.0039658174	0.08153082
segsize4	0.00069057517	0.03692884	0.016761424	0.07392437	0.04953625	0.0	0.08548144
segsize5	0.00020605612	0.049071006	0.015977694	0.06514806	3.2786475e-06	0.0	0.023483407
segsize6	6.2541985e-06	0.049847025	0.024189895	0.053035755	0.0	3.8185296e-36	0.008086543
segsize7	0.00083434046	0.050532684	0.03808469	0.03710091	0.0	0.003749828	0.0
segsize8	0.00019521156	0.028432844	0.029542817	0.016509527	0.0	0.009941649	0.0
segsize9	0.00026104326	0.0150555875	0.021644501	0.0077028563	0.0	0.008043866	0.0
segsize10	0.0	0.021257142	0.032330435	0.009265713	0.0	0.016238933	3.1963787e-30
segsize11	0.0	0.01959661	0.028222192	0.007123596	0.0	0.023364037	0.0
segsize12	0.0	0.017002676	0.027816733	0.005169949	0.0	0.026316721	0.0
segsize13	0.00032179916	0.01099297	0.016617874	0.0	0.01120078	0.020234456	0.0
segsize14	0.00057027146	0.0060919225	0.006682637	0.0	0.01670614	0.013953101	0.0
segsize15	0.0020141485	0.0058423663	0.0067480453	0.0	0.025714679	0.022473576	0.0
segsize16	0.004146399	0.002288695	0.0015169308	0.0	0.024347333	0.008922814	1.4080433e-25
segsize17	0.005067685	0.0	0.002147224	0.0	0.028585272	0.013963858	0.0034547162
segsize18	0.0046558944	0.0027352974	0.0	0.0	0.0076757506	0.0059197	4.062104e-07
segsize19	0.004151993	0.0	0.0	0.0	0.014378834	0.0055446383	0.000982725
segsize20	0.0050028167	0.0	0.0	0.0	0.009912599	0.00084109243	0.00039135822
segsize21	0.0083490275	0.0	0.0	0.0	0.011220071	0.0017716413	0.0030549744
segsize22	0.013240095	0.0	0.0	0.0	6.048444e-05	0.0	0.0
changepoint1	0.010875114	0.0	0.11003019	0.0	0.0	0.0033105453	0.0
changepoint2	0.006942545	0.0018354539	0.23440959	2.1415e-39	0.0	0.014342546	0.0
changepoint3	0.01131117	0.0	0.0	0.173491	0.0	0.08082606	0.0
changepoint4	0.007907354	0.029636549	0.0	0.10775997	0.12534204	0.054130305	0.0
changepoint5	0.0	0.101938754	0.0	0.02931143	0.61480826	0.012803014	0.0
changepoint6	7.248231e-13	0.066651635	0.0	1.4427342e-22	0.014178308	0.0009989674	3.1422706e-36
changepoint7	0.0	0.04838799	0.0	0.0	0.00010803799	0.0	0.0006246876
changepoint8	0.00025485008	0.04008437	0.0	0.0	0.0	0.0	0.016055066
changepoint9	0.00010541859	0.024147285	0.0	0.0	0.0	0.0	0.05378871
changepoint10	1.9259518e-05	0.0045871856	0.0	1.8949906e-22	0.0	1.2340522e-05	0.31059197
bp10MB1	0.5686838	0.00036508794	0.0	0.04707153	0.0	0.22910075	0.0
bp10MB2	0.22325984	0.04877382	0.08241421	0.06857221	0.0	0.23941834	0.0
bp10MB3	0.0046880227	0.0506525	0.02884001	0.07157774	0.0049765627	0.019742113	0.020368088
bpchrarm1	0.070272505	1.6363729e-19	0.0	0.0028934649	0.0	0.0036994582	0.0
bpchrarm2	0.03976189	0.0	0.0	0.0	6.576129e-37	0.039796297	0.0
bpchrarm3	0.0023884901	0.010087041	0.008165615	0.012910604	0.0044320864	0.032180477	0.0
bpchrarm4	0.0	0.0076124463	0.0032119304	0.011219519	0.0	0.0	0.0010111874
bpchrarm5	0.0	0.0	0.0	0.001414912	0.0	0.0	0.0054168063
osCN1	0.0	0.18981124	0.2344671	0.08222892	0.0	0.056336027	0.19704469
osCN2	0.0	0.052867204	0.027316371	0.055976484	0.0	0.020205796	0.047488086
osCN3	0.0	0.0007236089	4.0873347e-05	0.006442733	0.002560507	0.0	0.0
