	W1	W2	W3	W4	W5	W6	W7	W8	W9
segsize1	0.0	0.0	0.0	0.0	0.22916618	0.0019738236	0.0	0.00040956234	0.009714202
segsize2	0.0	0.0	0.0	0.0	0.21223082	0.0039842376	0.0	0.00091859704	0.008988684
segsize3	0.00041375382	3.8e-44	0.0	0.0	0.22450817	0.019569483	7.64925e-27	0.0013486946	0.020164033
segsize4	0.0011633884	0.0	0.0	0.0025102426	0.14794709	0.06538178	0.0094435755	0.0	0.053813074
segsize5	0.00038420322	0.0	0.0	0.0	0.0	0.06722358	0.01134395	0.0	0.05137619
segsize6	0.00011365346	0.0	0.0	5.621982e-16	0.0	0.05768541	0.02048706	0.0	0.046791118
segsize7	0.00094263087	0.0	0.0	0.0031176703	0.0	0.04295376	0.037303228	0.0038752551	0.043436293
segsize8	0.00024339477	0.0	0.0	0.00012272682	0.0	0.020517226	0.03024647	0.010790374	0.022791538
segsize9	0.00023912029	0.0	0.0	0.0024811695	0.0	0.010305382	0.022032572	0.008771673	0.011238885
segsize10	0.0	0.0	0.0	0.0013342054	0.0	0.012727261	0.03327982	0.01766959	0.015705727
segsize11	0.0	0.0	0.0	2.390204e-06	0.0	0.010710854	0.028962053	0.025709907	0.013009403
segsize12	0.0	0.0	0.0	0.0038548862	0.0	0.00814826	0.027396506	0.029174292	0.010392229
segsize13	0.0004439202	0.0	0.0	0.00753308	0.0	0.0022184632	0.015078824	0.022504872	0.0070773754
segsize14	0.0007356177	1.037477e-31	0.0	0.009692556	0.0	0.00088511955	0.005443847	0.015704438	0.004329905
segsize15	0.001978854	0.011862296	0.0	0.008177701	0.0	0.0	0.004634521	0.025667395	0.0045122225
segsize16	0.0018924206	0.08900011	0.0	0.0019096116	0.0	0.0	0.00041785237	0.010949496	0.001962562
segsize17	0.002519514	0.104171745	0.0038985617	0.0	0.0	0.0	1.1663781e-14	0.016225375	0.00082482316
segsize18	0.002602018	0.07196583	0.0	0.0	0.0	0.0	0.0	0.006982168	0.0019801043
segsize19	0.0021791207	0.07441001	1e-45	0.0	0.0	0.0	0.0	0.006527943	0.00018554216
segsize20	0.0016421168	0.11581906	8.660925e-12	0.0	0.0	0.0	0.0	0.0015107647	4.24093e-05
segsize21	0.003596902	0.16513027	0.001213449	0.0	0.0	0.0	0.0	0.0023402134	0.0005174084
segsize22	0.0043760384	0.29075179	0.0	0.0	0.0	0.0	0.0	0.0	0.0
changepoint1	0.0110775335	0.0	0.0	0.0	0.0027107678	0.0	0.11547519	0.003060683	0.0
changepoint2	0.0067279236	1.325627e-39	0.0	0.0	0.0	0.0030319493	0.24734123	0.014410856	7.627552e-13
changepoint3	0.011848225	0.0	0.0	0.0	0.0	0.1855607	0.0	0.07561499	0.0
changepoint4	0.0081517985	0.01076826	0.0	0.13682488	0.0	0.11189527	0.0	0.05741075	0.02286416
changepoint5	0.0	0.0	0.0	0.81017804	0.0	0.010748244	0.0	0.023626687	0.09206331
changepoint6	0.0	0.022367388	0.0	0.007853816	0.0	0.0	0.0	0.0021634991	0.0612837
changepoint7	0.0	0.027505128	0.0	0.0	0.0	0.0	0.0	1.208757e-06	0.043999992
changepoint8	0.00011191776	0.013685306	0.0	0.0	0.0	0.0	0.0	9.7228e-05	0.040329125
changepoint9	0.000118330725	0.0025628132	0.087070316	0.0	0.0	2.8857396e-16	0.0	0.0	0.027381755
changepoint10	1.5378566e-05	0.0	0.8952755	0.0	0.0	0.0	1e-45	3.5109306e-31	0.0075615714
bp10MB1	0.5866205	0.0	0.0	0.0	0.0	0.03208425	0.0	0.20696166	0.0131757585
bp10MB2	0.22927406	0.0	0.0	0.0	0.0	0.07463678	0.08279345	0.2430845	0.032576643
bp10MB3	0.0050544017	0.0	0.0	6.763807e-22	0.021337723	0.07401657	0.026284603	0.020272916	0.049655475
bpchrarm1	0.07282132	0.0	0.0	0.0	0.0	0.0019799662	2.7610437e-15	6.142003e-32	0.0
bpchrarm2	0.040396795	0.0	0.0	0.0	0.0	0.0	0.0	0.040039845	0.0
bpchrarm3	0.0023150055	0.0	0.0	0.0	0.009386028	0.01488659	0.0063716653	0.0354099	0.0050833025
bpchrarm4	0.0	0.0	0.0	0.0	0.0	0.0117949145	0.0027860075	0.0	0.0072470494
bpchrarm5	0.0	0.0	0.012542207	0.0	0.0	0.001304624	0.0	0.0	0.0003516539
osCN1	0.0	0.0	4.348782e-12	0.0	0.0970461	0.089949444	0.24682903	0.051483996	0.21086453
osCN2	0.0	0.0	0.0	0.0	0.05445203	0.057577472	0.026048603	0.019280687	0.056041107
osCN3	0.0	0.0	0.0	0.004407019	0.0012150465	0.0062485654	0.0	0.0	0.00066718296
