	W1	W2	W3	W4	W5	W6	W7	W8
segsize1	0.0	0.0004162913	0.0010906999	0.41137567	0.0	0.029941164	0.0036006086	0.004472991
segsize2	0.0	0.001252179	0.0011203883	0.34115788	0.0	0.030784879	0.0066385325	0.0038675596
segsize3	0.0027449427	0.0022615474	0.0027430514	0.24650753	0.0004838324	0.047085226	0.025402995	0.011373409
segsize4	0.0	2.915546e-07	0.014680643	0.0	0.001726084	0.07770294	0.074113585	0.036192555
segsize5	0.0	0.0	0.015836552	0.0	0.00027733322	0.04354738	0.068934456	0.0353183
segsize6	0.0	9.894623e-33	0.023729635	0.0	2.5793257e-05	0.031982854	0.058424123	0.034224976
segsize7	0.0	0.0018854375	0.03905448	0.0	0.0010114819	0.011215487	0.04186587	0.039507035
segsize8	0.0	0.008839832	0.031004878	0.0	0.00024541153	5.453683e-17	0.01870477	0.02480173
segsize9	0.0	0.0075070737	0.022023046	0.0	0.00027781122	7.5283e-41	0.00869568	0.013755484
segsize10	0.0	0.01597099	0.03304468	0.0	0.0	0.0030900808	0.009884744	0.019583082
segsize11	0.0	0.02321114	0.029242365	0.0	0.0	0.0	0.0074739237	0.01996964
segsize12	0.0	0.027180478	0.027299197	0.0	0.0	0.0	0.0043985774	0.018462947
segsize13	6.886591e-20	0.021422818	0.014954762	0.0	0.00046858925	0.0	0.00015042032	0.012710107
segsize14	0.008271791	0.015282781	0.0053162016	0.0	0.00042109677	0.0	6.757675e-05	0.007821314
segsize15	0.026277551	0.025716396	0.0043572965	0.0	0.0011019807	9.3905004e-29	0.0	0.007971871
segsize16	0.059119202	0.010780259	0.00086497265	0.0	0.0017754897	0.00080768985	0.0	0.002960643
segsize17	0.07139343	0.016645776	0.0007190438	0.0	0.0022310833	0.0036515694	0.0	0.0012966706
segsize18	0.04677884	0.007310786	0.0	0.0	0.002531585	0.0034349025	0.0	0.0014397351
segsize19	0.04996837	0.0067816745	0.0	0.0	0.0020443732	0.0025151381	0.0	7.734653e-35
segsize20	0.06664218	0.0013476004	0.0	0.0	0.001903667	0.0016727145	0.0	0.0
segsize21	0.096873015	0.0022796595	0.0	0.0	0.0038433706	0.004388596	0.0	0.0
segsize22	0.15248053	0.0	0.0	0.0	0.005685471	0.0	0.0	0.0
changepoint1	4.343917e-18	0.002967153	0.105999894	0.0	0.011385598	0.0	6.911584e-32	0.0
changepoint2	2.3217347e-20	0.014471138	0.22862193	0.0	0.00729366	1.1963124e-18	0.00077245943	0.0012529279
changepoint3	0.0	0.090589575	0.0	0.0	0.010743435	0.0	0.18482922	0.0
changepoint4	0.110007055	0.057638716	0.0	0.0	0.00490665	0.0	0.11316038	0.039627958
changepoint5	0.26653424	0.011385643	0.0	0.0	0.0	0.0	0.023480812	0.14373036
changepoint6	0.016104894	2.8883838e-27	5.9682986e-07	0.0	2.9002762e-20	0.0044313637	7.627681e-26	0.05678576
changepoint7	0.014854913	0.0	0.0	0.0	0.0	0.016713655	0.0	0.035779476
changepoint8	0.008715965	6.489406e-24	0.0	0.0	6.362087e-05	0.038707025	0.0	0.02813963
changepoint9	0.0027540245	1.8734532e-05	0.0	0.0	4.8229525e-05	0.07173288	3.0717328e-07	0.014402168
changepoint10	0.00047341743	5.690208e-05	0.0	0.0	4.202845e-06	0.2534123	7.60507e-05	0.001998226
bp10MB1	0.0	0.21512333	8.823179e-21	0.0	0.5892802	3.1160987e-19	0.0333439	0.040557034
bp10MB2	0.0	0.24317421	0.08267962	0.0	0.22916849	0.0	0.059954066	0.08012305
bp10MB3	0.0	0.018419791	0.03036231	0.0	0.0050314963	0.026633406	0.07423239	0.0451031
bpchrarm1	0.0	3.6098585e-12	1.5652319e-22	0.0	0.0735155	0.0	0.0026959984	7.354368e-22
bpchrarm2	6.3205852e-21	0.043209348	1.978406e-22	0.0	0.040330034	9.5970504e-21	0.0	0.002743041
bpchrarm3	0.0	0.034514543	0.007535136	5.15586e-38	0.0021743777	0.0	0.012158048	0.0136183165
bpchrarm4	0.0	0.0	0.0034709442	0.0	0.0	0.003608026	0.011962412	0.005508025
bpchrarm5	0.0	0.0	0.0	0.0	0.0	0.0044799848	0.0014226441	0.0
osCN1	0.0	0.054079425	0.2443528	0.0	0.0	0.23995048	0.088880055	0.14653862
osCN2	0.0	0.018258447	0.02989488	0.0	0.0	0.04851026	0.058049176	0.047356505
osCN3	5.732438e-06	0.0	0.0	0.0009588787	1.2351443e-17	1.39e-43	0.0066261683	0.0010057335
