	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.4572984	0.0	0.0018339454	7.1732546e-12	0.0	0.0	0.0	0.009044106
segsize2	0.0	0.0	0.37027565	0.0	0.0093958415	0.009108996	0.0010307314	0.0	1.1583228e-24	0.0054059955
segsize3	0.0	0.024777398	0.17242588	0.0	0.03843931	0.04828968	0.0011998548	0.022957684	0.059060134	0.0
segsize4	0.0	0.066097006	0.0	0.0	0.103864335	0.12887157	0.0	0.06818558	0.11099964	0.0
segsize5	0.0	0.015487261	0.0	0.0	0.05799845	0.0906606	0.0	0.015046007	0.0	0.040418707
segsize6	0.0	6.5313826e-22	0.0	0.0011177139	0.004938859	0.052398153	0.0030090916	0.0	0.0	0.058978878
segsize7	0.0	0.0	0.0	0.002291344	0.0	0.020419458	0.008604663	0.0	0.0	0.063397355
segsize8	0.0	0.0	0.0	0.00082302716	0.0	0.0032191703	0.013096859	0.0	0.0	0.03803169
segsize9	0.0	0.0	0.0	0.00056626246	0.0	3.9048622e-14	0.010193537	0.0	0.0	0.021295106
segsize10	0.0	0.0	0.0	9.01651e-05	0.0	0.0	0.019362489	0.0	0.0	0.02945577
segsize11	0.0	0.0	0.0	0.0	0.0	0.0	0.025167936	0.0	0.0	0.026218038
segsize12	0.0	0.0	0.0	0.0	0.0	0.0	0.028353361	0.0	0.0	0.021641908
segsize13	0.0	0.009928527	0.0	0.0	0.0025380717	0.0	0.02140894	2.3679678e-11	0.0	0.010660666
segsize14	0.0	0.0158943	0.0	0.0	0.011507962	0.0	0.014250512	0.004045758	0.0	0.0032429404
segsize15	0.0	0.023186928	0.0	0.00088176347	0.02609763	0.0	0.02274472	0.00802825	0.0	0.0
segsize16	0.08632598	0.009399629	0.0	0.0014472762	0.014014564	0.0	0.009663716	5.769035e-09	0.0	0.0
segsize17	0.10556355	1.4226179e-33	0.0	0.0019994855	0.014076428	0.0	0.014547256	0.0	0.0028169535	0.0
segsize18	0.06479699	0.0	0.0	0.0025230478	0.01719865	0.0	0.006004646	0.0	0.0	0.0
segsize19	0.07659564	0.0	0.0	0.001987427	0.008332762	0.0	0.0055809044	0.0	0.0	0.0
segsize20	0.1304307	0.0	0.0	0.0015165777	0.0027147683	0.0	0.001362413	0.0	5.4802895e-05	0.0
segsize21	0.18327864	0.0	0.0	0.00352362	0.006755002	0.0	0.0019869204	0.0	0.0003393368	0.0
segsize22	0.3528361	0.0	0.0	0.003921762	0.0	0.0	0.0	0.0	0.0	0.0
changepoint1	0.0	0.0014248237	0.0	0.007982633	0.0	0.0032530553	0.0072878557	0.2887684	0.0	0.001191822
changepoint2	0.0	0.0	0.0	0.0019282735	0.0	0.0	0.022514297	0.5179554	0.0	0.016198115
changepoint3	0.0	0.0	0.0	0.007778283	0.0	0.29923537	0.07469	0.0	0.0	2.7429345e-27
changepoint4	1e-45	0.14666693	0.0	0.006252185	0.0	0.1515197	0.049757183	0.0	0.0	0.032731343
changepoint5	0.0	0.63352185	0.0	0.0	0.07551817	0.0015879304	0.01670418	0.0	0.0	0.05798373
changepoint6	0.0	0.024028951	0.0	0.0	0.16699865	0.0	0.0	0.0	0.0	0.018229457
changepoint7	1.3326032e-05	0.0	0.0	0.0	0.15442543	0.0	0.0	0.0	0.0	0.0069618644
changepoint8	0.00015901917	0.0	0.0	0.0001290416	0.1309511	7.552148e-37	0.0	0.0	0.0	0.0077598025
changepoint9	0.0	0.0	0.0	5.1844167e-05	0.08016567	3.2571927e-05	0.0	0.0	0.06728117	0.0044618044
changepoint10	0.0	0.0	0.0	7.42573e-06	0.013074935	4.0481e-40	0.0	0.0	0.47879186	0.0014064272
bp10MB1	0.0	0.0	0.0	0.60048	4.3985764e-24	0.0001484302	0.19342254	0.0	0.0	0.027554005
bp10MB2	0.0	0.0	0.0	0.23108502	0.0	0.017240083	0.22959492	0.0	0.0	0.09958355
bp10MB3	0.0	0.014854732	0.0	0.005261365	0.024643544	0.08293841	0.022045964	0.0	0.0	0.057314906
bpchrarm1	0.0	0.0	0.0	0.07533303	0.0	0.0	2.2961252e-19	0.0	0.0	0.0
bpchrarm2	0.0	0.0	0.0	0.03975648	0.0076104556	0.0	0.03750983	0.0	0.0	0.0
bpchrarm3	0.0	0.010833873	0.0	0.0012649642	0.005081091	0.017262759	0.032183092	0.0	0.0	0.009762661
bpchrarm4	0.0	0.0	0.0	0.0	3.7798387e-08	0.008734645	0.0	9.3471016e-07	0.0	0.012306121
bpchrarm5	0.0	0.0	0.0	0.0	3.2661763e-08	0.002427327	0.0	0.0	0.0077086035	0.0
osCN1	0.0	0.0	0.0	0.0	4.343942e-12	3.0057842e-07	0.08408369	0.07501195	0.22962905	0.25398338
osCN2	0.0	4.896467e-25	7.292044e-12	0.0	0.020674609	0.052108735	0.022637859	0.0	0.043318495	0.064779885
osCN3	0.0	0.0038977892	0.0	0.0	0.0011497325	0.010543128	0.0	0.0	0.0	0.0
