	W1	W2	W3	W4	W5	W6	W7	W8	W9
segsize1	0.0	0.0011403799	0.0	0.0029569406	0.0027414057	0.005152109	0.053908207	0.022040563	0.0
segsize2	0.0	0.0007318828	0.0	0.006739226	0.0016637042	0.0068753	0.049829274	0.026541278	0.0
segsize3	0.0	0.000264988	0.0	0.020968715	0.0010674983	0.020537226	0.061294407	0.05846115	0.0
segsize4	0.0	0.0	0.0	0.05545667	0.0	0.06063006	0.08352306	0.12443704	0.0
segsize5	0.0	0.0	0.03857036	0.016305014	0.0	0.048225183	0.041111484	0.0820565	0.0
segsize6	0.0	0.00043117919	0.060496274	0.0075881244	0.0	0.03885775	0.026482876	0.046553954	0.0
segsize7	0.0	0.002309373	0.072453886	0.0	0.0055447835	0.03312352	0.010839463	0.010929234	0.0
segsize8	0.0	0.0011200205	0.046033505	9.7963734e-17	0.011134033	0.016750826	8.766725e-10	1.887753e-21	0.0
segsize9	0.0	0.00060881814	0.02541783	0.0071831713	0.008524923	0.008792489	0.0	0.0	0.0
segsize10	0.0	0.00016720398	0.03358083	0.011100935	0.017534794	0.011952486	0.004040812	0.0	0.0
segsize11	0.0	0.0	0.029338066	0.008770495	0.023932602	0.012704724	2.13897e-40	0.0	0.0
segsize12	0.0	0.0	0.02023401	0.015301007	0.027424237	0.0129559	0.0	0.0	0.0
segsize13	0.0	0.000410147	0.008040065	0.007576416	0.02131765	0.009722895	0.0	0.0	0.0
segsize14	0.0023448446	0.0005784813	0.0021644593	0.001496583	0.015044769	0.007336294	0.0	0.0	0.0
segsize15	0.01519123	0.0012167072	0.0	0.0025817796	0.024827743	0.0074354345	0.0	0.0	0.012183335
segsize16	0.06363187	0.001479247	0.0	1.784541e-14	0.010698002	0.0028316625	0.00033832097	0.0	0.0072899847
segsize17	0.07378531	0.0019815147	0.0	3.4315995e-31	0.016294476	0.0007462229	0.003728536	0.0	1.7069611e-28
segsize18	0.04683663	0.0022809117	0.0	0.0	0.00712797	0.0	0.0006337359	0.0	0.03329085
segsize19	0.053232003	0.0018449416	0.0	0.0	0.006517805	0.0	0.00083612785	0.0	0.0077178315
segsize20	0.08335933	0.0014593403	0.0	0.0	0.0016477391	0.0	0.0011370629	0.0	8.621233e-08
segsize21	0.118480414	0.0033479063	0.0	0.0	0.0024181644	0.0	0.001882018	0.0	0.009179679
segsize22	0.21187373	0.0042835567	0.0	0.0	0.0	0.0	0.0	0.0	0.0
changepoint1	1e-45	0.008042891	0.0	0.23558462	0.0069671012	0.0013479057	0.0	0.008654762	0.0
changepoint2	0.0	0.0030163391	0.029748948	0.41118816	0.021263722	0.0	0.0	0.0	0.0
changepoint3	0.0	0.008894121	0.105400294	0.0	0.06400404	0.0	0.0	0.27827042	0.0
changepoint4	0.101846375	0.0043282276	0.06122993	0.0	0.044488303	0.05925351	0.0	0.14609708	0.0
changepoint5	0.22837496	0.0	0.0	0.0	0.01567193	0.19996499	0.0	0.006574819	0.0
changepoint6	1.9971692e-05	0.0	0.0025586525	0.0	0.0	0.046985574	1.0012216e-06	0.0	0.26897204
changepoint7	0.0	0.0	0.0	3.1743372e-07	0.0	0.022644505	0.0052980357	0.0	0.2912808
changepoint8	0.0004001012	7.958623e-14	0.00074999704	0.0	9.659373e-05	0.018685767	0.021275712	0.0	0.22878063
changepoint9	7.4988435e-05	1.1847852e-05	0.0015450845	0.0	6.990118e-21	0.00875693	0.05182852	0.0	0.14130476
changepoint10	0.000548281	0.0	0.0004974075	0.0	7.6094235e-05	0.0015466288	0.25191385	0.0	0.0
bp10MB1	0.0	0.59586	1.9459859e-20	0.0	0.21669793	0.040046744	0.0	0.00020269574	0.0
bp10MB2	0.0	0.2324872	0.104123585	3.549412e-39	0.2399186	0.056053903	0.0	0.0088554	0.0
bp10MB3	0.0	0.004634507	0.05489529	0.017472906	0.017369872	0.052667685	0.029710522	0.087659486	0.0
bpchrarm1	0.0	0.075644426	1.0216983e-32	0.0	0.0	0.0	0.0	0.0	0.0
bpchrarm2	0.0	0.039644144	0.0	0.0	0.041651785	8.8379014e-20	7.651747e-36	0.0	0.0
bpchrarm3	0.0	0.0017797333	0.01026574	0.0	0.032200865	0.012281592	0.0	0.018768646	0.0
bpchrarm4	0.0	0.0	0.014481361	4.3094046e-06	0.0	0.0059154993	0.0028907252	0.005952957	0.0
bpchrarm5	0.0	0.0	0.0	0.0	0.0	0.0	0.0053158877	0.0025747637	0.0
osCN1	0.0	0.0	0.22049645	0.16756067	0.075404674	0.11575628	0.2401834	0.00021357354	0.0
osCN2	0.0	0.0	0.056906085	0.004156733	0.018726261	0.05134083	0.051996898	0.054071024	0.0
osCN3	0.0	0.0	0.00077185716	7.1882937e-06	0.0	0.0021215146	0.0	0.01108468	0.0
